t,method,features,SNS,TW,TW_k1,TD
34,TMTM,7,0.22408617745346993,0.9047619047619048,0.7428571428571429,5.384615384615373
35,TMTM,6,0.17357840537339073,,1.0,8.615384615384642
36,TMTM,6,0.1849031693194889,,0.75,4.307692307692307
37,TMTM,5,0.2178343549675237,,0.6,67.84615384615384
38,TMTM,6,0.238480042071162,,0.9583333333333334,17.230769230769212
39,TMTM,7,0.27036567732805694,0.7619047619047619,0.6571428571428571,12.923076923076934
0,ST-MTM,1,0.0,,,0.0
1,ST-MTM,1,0.0,,,0.0
2,ST-MTM,1,0.0,,,0.0
3,ST-MTM,1,0.0,,,0.0
4,ST-MTM,1,0.0,,,0.0
5,ST-MTM,1,0.0,,,0.0
6,ST-MTM,1,0.0,,,0.0
7,ST-MTM,1,0.0,,,0.0
8,ST-MTM,2,0.0,,,0.0
9,ST-MTM,2,1.7412897042592793e-32,,,3.07692307692308
10,ST-MTM,2,1.355089264015003e-32,,,0.7363710640181154
11,ST-MTM,3,0.0944138099001871,,0.6666666666666667,8.47134827945284
12,ST-MTM,2,0.0,,,4.299362218569641
13,ST-MTM,2,0.0,,,1.7540193536157176
14,ST-MTM,3,0.052665533208765714,,1.0,10.238848398132362
15,ST-MTM,5,0.17883858201297728,,0.9333333333333333,21.186225628407442
16,ST-MTM,5,0.17810276092218466,,0.9333333333333333,4.889144399792457
17,ST-MTM,4,0.18697070984341144,,0.75,57.59975903887755
18,ST-MTM,4,0.14582914734064747,,0.75,44.748126354492115
19,ST-MTM,5,0.1489217666770891,,0.8,62.69277420304827
20,ST-MTM,6,0.19143083121142848,,0.9166666666666666,11.247392962948538
21,ST-MTM,5,0.18624138472423088,,0.8,14.532338673686226
22,ST-MTM,6,0.0964785651409966,,0.9583333333333334,179.92587067790652
23,ST-MTM,7,0.08092748664616277,0.9047619047619048,0.9714285714285714,49.21585864689915
24,ST-MTM,6,0.06364991079352335,,1.0,37.80455898993557
25,ST-MTM,5,0.06020873493272994,,0.9333333333333333,14.887093471947892
26,ST-MTM,6,0.07365207966016911,,0.9166666666666666,13.191509985462531
27,ST-MTM,6,0.0765344316513265,,0.9583333333333334,6.80965492259692
28,ST-MTM,5,0.057536782948378724,,1.0,31.543770485222737
29,ST-MTM,5,0.05569723380374912,,1.0,7.279329468762974
30,ST-MTM,6,0.04837874296824108,,0.9166666666666666,10.809946551294942
31,ST-MTM,6,0.0666072880267002,,1.0,20.053188882438747
32,ST-MTM,6,0.07217354179001058,,0.9583333333333334,19.192587815323066
33,ST-MTM,6,0.07272305440344567,,0.9583333333333334,12.410316599986594
34,ST-MTM,7,0.06747813290341194,0.9523809523809523,0.9142857142857143,19.205499894680102
35,ST-MTM,6,0.0729331486391527,,1.0,23.690342012975748
36,ST-MTM,6,0.055689553324770553,,1.0,33.688468439688656
37,ST-MTM,5,0.06518118996995265,,0.9333333333333333,7.333709653504499
38,ST-MTM,6,0.05924107862958804,,1.0,22.09004282440401
39,ST-MTM,7,0.06611517170961594,0.9523809523809523,0.9428571428571428,26.107917618483803
0,My Method,1,0.0,,,0.0
1,My Method,1,0.0,,,1.4210854715202004e-14
2,My Method,1,0.0,,,2.1316282072803006e-14
3,My Method,1,0.0,,,2.1316282072803006e-14
4,My Method,1,0.0,,,2.1316282072803006e-14
5,My Method,1,0.0,,,2.1316282072803006e-14
6,My Method,1,0.0,,,2.1316282072803006e-14
7,My Method,1,0.0,,,15.80267558528427
8,My Method,2,0.0,,,0.8355259544957363
9,My Method,2,0.0,,,2.5835870818956685
10,My Method,2,0.0,,,1.6030330537076658
11,My Method,3,0.19573487249258373,,0.33333333333333337,4.317888405638826
12,My Method,2,0.0,,,18.057119916104888
13,My Method,2,2.5373984761519543e-32,,,0.0
14,My Method,3,0.35001689340483805,,0.33333333333333337,32.30769230769231
15,My Method,5,0.2477054423666841,,0.4,45.314410162137534
16,My Method,5,0.2493893568699576,,0.4,17.069414013408103
17,My Method,4,0.18640012686621033,,0.75,43.41661242304137
18,My Method,4,0.12473029336683784,,0.75,19.186602361010728
19,My Method,5,0.2657238421026699,,0.4,4.691673053816546
20,My Method,6,0.22546919441424368,,0.5416666666666667,4.964285714285706
21,My Method,5,0.2686801043718677,,0.4,33.351853084250685
22,My Method,6,0.3821245167814775,,0.5416666666666667,61.696732571716126
23,My Method,7,0.18308865821783732,0.6904761904761905,0.7428571428571429,152.69437230492588
24,My Method,6,0.31992159286607613,,0.6666666666666667,193.93187001093767
25,My Method,5,0.260125661861413,,0.7333333333333334,91.95116101936217
26,My Method,6,0.25000790044136634,,0.5833333333333333,54.657109211751795
27,My Method,6,0.24251339902825192,,0.625,0.9646293016663403
28,My Method,5,0.1790169265325671,,0.5333333333333333,32.466438920628484
29,My Method,5,0.16392739224830383,,0.7333333333333334,20.50334470569928
30,My Method,6,0.18749841408553347,,0.7083333333333333,12.95914781270557
31,My Method,6,0.17387720604720155,,0.6666666666666667,3.233012661579097
32,My Method,6,0.20289331542848105,,0.6666666666666667,18.805364232029287
33,My Method,6,0.22846719978998653,,0.625,14.198144175315369
34,My Method,7,0.21562423171809258,0.7380952380952381,0.6571428571428571,2.407900616954929
35,My Method,6,0.174384254034446,,0.7916666666666666,13.379477671178122
36,My Method,6,0.12020971044040446,,0.6666666666666667,7.881218495410298
37,My Method,5,0.14631130376985746,,0.6666666666666667,15.559689307530277
38,My Method,6,0.17877683201426192,,0.7916666666666666,15.063773240221213
39,My Method,7,0.15599795506861547,0.6904761904761905,0.7142857142857143,5.739928460093569
