t,track,reference,motion,growth,trajectory,eligible,boundary,iou,q,x,width,area
22,8,0.05746540712082995,0.08551027891570175,0.0,0.05746540712082995,True,False,0.25,16.153846153846153,4.0861106584718625,0.5357142857142858,225.0
22,10,0.12580128205128205,,,,False,False,,48.46153846153846,22.04326923076923,0.5357142857142858,225.0
23,7,0.03798220454332522,0.09125740425273017,0.0,0.09149476341302694,True,True,1.0,16.153846153846153,8.177583199747858,0.5357142857142858,225.0
23,4,0.08969975792389823,0.13507178284423718,0.0,0.10925467985699298,True,True,1.0,56.53846153846153,37.701512374442906,1.0714285714285716,450.0
23,2,6.916503913086715e-20,0.10913461538461539,0.0,0.0015095739689251497,True,True,1.0,0.0,1.45246582174821e-17,0.5357142857142858,225.0
23,11,0.14759615384615388,,,,False,False,,80.76923076923077,49.77403846153846,0.5357142857142858,225.0
23,9,0.034645439018486476,0.001387459833993278,0.0,0.02685380395465287,True,False,1.0,64.61538461538461,71.89092680926677,0.5357142857142858,225.0
23,8,0.1642628205128205,0.22172822763365047,0.0,0.1642628205128205,True,False,1.0,16.153846153846153,50.64903846153846,0.5357142857142858,225.0
23,10,0.042735286594376594,0.16853656864565866,0.0,0.16853656864565866,True,False,1.0,48.46153846153846,57.435948646357545,0.5357142857142858,225.0
24,7,0.1642628205128205,0.20224502505614575,0.0,0.11075026164311878,True,True,0.5,8.076923076923077,42.57211538461539,1.0714285714285716,450.0
24,4,0.0553434529462649,0.14504321087016311,0.0,0.035788531013170144,True,True,0.5,48.46153846153846,60.08366358025409,0.5357142857142858,225.0
24,11,0.01697173900301281,0.16456789284916667,0.0,0.16456789284916667,True,False,0.5,80.76923076923077,84.33329595986346,1.0714285714285716,450.0
24,9,0.10913461538461536,0.14378005440310185,0.0,0.11692625044844897,True,False,1.0,64.61538461538461,41.69711538461539,0.5357142857142858,225.0
24,8,0.038461538461538464,0.20272435897435898,0.0,0.038461538461538464,True,True,0.5,8.076923076923077,1.941382405914461e-17,1.0714285714285716,450.0
24,10,0.060850805004404915,0.10358609159878152,0.0,0.06495047704687713,True,False,1.0,48.46153846153846,35.68286941061343,0.5357142857142858,225.0
25,7,0.0067166896528740375,0.17097951016569457,0.0,0.06022924852257576,True,True,1.0,8.076923076923077,6.666418249819529,1.0714285714285716,450.0
25,4,0.04280514889297945,0.09814860183924436,0.0,0.062360070826074206,True,True,0.5,56.53846153846153,47.54938027093585,1.0714285714285716,450.0
25,11,0.03221153846153854,0.04918327746455135,0.0,0.11538461538461534,True,False,1.0,80.76923076923077,74.00480769230768,1.0714285714285716,450.0
