scene,method,t,feature,q,area,x,z,width
translation,RA-MTM,15,A,36.09775641025641,822.65625,35.09775641025641,35.09774593551781,9.871875000000001
translation,RA-MTM,15,B,66.67824074074075,569.53125,65.67824074074075,65.678247992483,6.8343750000000005
translation,RA-MTM,15,C,87.03358208955224,706.640625,88.03358208955224,88.03321950142593,8.4796875
translation,RA-MTM,16,A,36.93156108597285,776.953125,35.93156108597285,35.93154917454257,9.3234375
translation,RA-MTM,16,B,67.18344155844156,541.40625,66.18344155844156,66.18344985871416,6.496875
translation,RA-MTM,16,C,87.58004926108374,713.671875,88.58004926108374,88.57972341386977,8.5640625
translation,RA-MTM,17,A,37.5,836.71875,36.5,36.49999364328402,10.040625
translation,RA-MTM,17,B,67.93981481481481,569.53125,66.93981481481481,66.93981914165506,6.8343750000000005
translation,RA-MTM,17,C,88.41053299492386,692.578125,89.41053299492386,89.41016423473866,8.3109375
translation,RA-MTM,18,A,37.8860294117647,836.71875,36.8860294117647,36.88601876995644,10.040625
translation,RA-MTM,18,B,68.4375,576.5625,67.4375,67.43750733301063,6.91875
translation,RA-MTM,18,C,88.90858208955224,706.640625,89.90858208955224,89.90820881846409,8.4796875
translation,RA-MTM,19,A,38.735986547085204,783.984375,37.735986547085204,37.73597351415985,9.4078125
translation,RA-MTM,19,B,69.05844155844156,541.40625,68.05844155844156,68.05845055875771,6.496875
translation,RA-MTM,19,C,89.3841911764706,717.1875,90.3841911764706,90.38386109493634,8.606250000000001
translation,RA-MTM,20,A,39.311708860759495,833.203125,38.311708860759495,38.311703592239866,9.9984375
translation,RA-MTM,20,B,69.7360248447205,566.015625,68.7360248447205,68.73602842375705,6.7921875
translation,RA-MTM,20,C,90.21045918367346,689.0625,91.21045918367346,91.21009457704544,8.26875
growth,TMTM,0,A,27.361425339366516,776.953125,47.787940269916604,47.787940269916604,6.278409090909091
growth,TMTM,0,B,57.67451298701299,541.40625,53.12884936082569,53.14305390628024,4.375
growth,TMTM,0,C,78.10060975609755,720.703125,62.219758451734776,62.219758451734776,5.823863636363636
growth,TMTM,1,A,26.822698744769873,840.234375,47.64589481537114,47.64589481537114,6.789772727272727
growth,TMTM,1,B,57.7265625,562.5,53.32771299718933,53.34191754264387,4.545454545454545
growth,TMTM,1,C,78.26785714285714,738.28125,62.41862208809842,62.43282663355296,5.965909090909091
growth,TMTM,2,A,26.486280487804876,864.84375,47.475440269916604,47.48964481537114,6.988636363636363
growth,TMTM,2,B,57.76997041420118,594.140625,53.412940269916604,53.412940269916604,4.801136363636363
growth,TMTM,2,C,78.8556338028169,748.828125,62.61748572446206,62.61748572446206,6.051136363636363
growth,TMTM,3,A,25.879360465116278,907.03125,47.19134936082569,47.20555390628024,7.329545454545454
growth,TMTM,3,B,57.75423728813559,622.265625,53.412940269916604,53.412940269916604,5.028409090909091
growth,TMTM,3,C,79.01785714285714,787.5,62.98680390628023,63.001008451734776,6.363636363636363
growth,TMTM,4,A,25.50410583941606,963.28125,47.10612208809842,47.12032663355296,7.784090909090909
growth,TMTM,4,B,57.95454545454545,657.421875,53.69703117900751,53.69703117900751,5.3125
growth,TMTM,4,C,79.38631221719457,776.953125,63.1288493608257,63.1288493608257,6.278409090909091
growth,TMTM,5,A,25.079787234042552,991.40625,46.73680390628024,46.75100845173478,8.011363636363637
growth,TMTM,5,B,57.93170103092783,682.03125,53.52657663355296,53.54078117900751,5.511363636363636
growth,TMTM,5,C,79.92384453781513,836.71875,63.66862208809842,63.68282663355296,6.761363636363636
growth,TMTM,6,A,24.649390243902438,1008.984375,46.59475845173478,46.59475845173478,8.15340909090909
growth,TMTM,6,B,57.91454081632653,689.0625,53.46975845173478,53.48396299718933,5.568181818181818
growth,TMTM,6,C,80.16953441295547,868.359375,64.09475845173478,64.09475845173478,7.017045454545454
growth,TMTM,7,A,24.375,1023.046875,46.70839481537114,46.70839481537114,8.267045454545455
growth,TMTM,7,B,57.970360824742265,682.03125,53.61180390628024,53.62600845173478,5.511363636363636
growth,TMTM,7,C,80.50154320987654,854.296875,64.29362208809842,64.29362208809842,6.903409090909091
growth,TMTM,8,A,24.10438144329897,1023.046875,46.50953117900751,46.50953117900751,8.267045454545455
growth,TMTM,8,B,58.125,682.03125,53.412940269916604,53.42714481537114,5.511363636363636
growth,TMTM,8,C,81.0205078125,900.0,64.49248572446206,64.5066902699166,7.2727272727272725
growth,TMTM,9,A,23.475,1054.6875,46.42430390628024,46.43850845173478,8.522727272727272
growth,TMTM,9,B,58.048469387755105,689.0625,53.49816754264387,53.51237208809842,5.568181818181818
growth,TMTM,9,C,81.25482625482626,910.546875,64.74816754264387,64.74816754264387,7.357954545454545
growth,TMTM,10,A,23.25996677740864,1058.203125,46.225440269916604,46.225440269916604,8.551136363636363
growth,TMTM,10,B,58.125,710.15625,53.38453117900751,53.39873572446206,5.738636363636363
growth,TMTM,10,C,81.60083643122677,945.703125,65.23112208809842,65.23112208809842,7.642045454545454
growth,TMTM,11,A,22.763578274760384,1100.390625,45.79930390628024,45.79930390628024,8.892045454545455
growth,TMTM,11,B,58.19444444444444,759.375,53.32771299718933,53.34191754264387,6.136363636363636
growth,TMTM,11,C,81.99646643109541,994.921875,65.57203117900751,65.57203117900751,8.039772727272727
growth,TMTM,12,A,22.161214953271028,1128.515625,45.65725845173478,45.65725845173478,9.119318181818182
growth,TMTM,12,B,58.17613636363637,773.4375,53.35612208809842,53.37032663355296,6.25
growth,TMTM,12,C,82.33780276816609,1016.015625,65.96975845173478,65.96975845173478,8.210227272727272
growth,TMTM,13,A,21.798278443113773,1174.21875,45.45839481537114,45.47259936082569,9.488636363636363
growth,TMTM,13,B,58.125,812.109375,53.52657663355296,53.52657663355296,6.5625
growth,TMTM,13,C,82.5,1030.078125,66.16862208809842,66.16862208809842,8.323863636363637
growth,TMTM,14,A,21.39423076923077,1233.984375,45.34475845173478,45.34475845173478,9.971590909090908
growth,TMTM,14,B,58.23622881355932,829.6875,53.69703117900751,53.71123572446206,6.704545454545454
growth,TMTM,14,C,82.79040404040404,1044.140625,66.2254402699166,66.2254402699166,8.4375
growth,TMTM,15,A,21.082063711911356,1269.140625,44.94703117900751,44.94703117900751,10.255681818181818
growth,TMTM,15,B,58.230421686746986,875.390625,53.64021299718933,53.64021299718933,7.073863636363636
growth,TMTM,15,C,83.35887096774194,1089.84375,66.62316754264387,66.63737208809842,8.806818181818182
