t,track,leaf,support_samples,centroid_x,centroid_y,peak_x,peak_y,centroid_anchor_x,centroid_anchor_y,peak_anchor_x,peak_anchor_y
18,3,59,1,48.46153846153846,64.61538461538461,48.46153846153846,64.61538461538461,46.71153846153846,50.52080501515944,48.284495537527675,72.34287902625167
18,6,72,1,32.30769230769231,80.76923076923077,32.30769230769231,80.76923076923077,30.557692307692307,82.63455929880723,31.19166669431205,62.09306318681319
19,7,2,2,24.23076923076923,0.0,32.30769230769231,0.0,30.657623626373624,0.2678571428571429,35.73626373626374,0.2678571428571429
19,2,14,2,0.0,24.23076923076923,0.0,16.153846153846153,1.6785714285714288,32.94959103578586,1.678571428571429,26.20193336292094
19,4,32,4,64.61538461538461,40.38461538461539,64.61538461538461,32.30769230769231,68.20495792927626,31.271019607214427,68.04395604395604,24.523361934349513
19,8,56,1,0.0,64.61538461538461,0.0,64.61538461538461,0.13392857142857148,67.3188619334537,0.13392857142857176,65.89452386929753
19,6,72,1,32.30769230769231,80.76923076923077,32.30769230769231,80.76923076923077,27.688963287307978,84.13276005577244,28.879120879120876,80.53601773953908
20,7,2,2,24.23076923076923,0.0,32.30769230769231,0.0,30.657623626373624,0.26785714285714324,36.13804945054945,0.2678571428571429
20,2,14,2,0.0,24.23076923076923,0.0,16.153846153846153,0.2678571428571424,44.457168665241355,0.26785714285714135,40.81372891681582
20,4,18,2,64.61538461538461,24.23076923076923,64.61538461538461,16.153846153846153,66.22118045908718,18.66578908075185,68.44574175824175,12.581619235911095
20,8,56,1,0.0,64.61538461538461,0.0,64.61538461538461,2.0803571428571446,69.83459008598082,2.080357142857146,68.82209223841174
20,9,60,1,64.61538461538461,64.61538461538461,64.61538461538461,64.61538461538461,71.04223901098901,43.18038295095564,66.28734226450395,39.536943202530104
20,6,72,1,32.30769230769231,80.76923076923077,32.30769230769231,80.76923076923077,27.497426841121495,84.48169553119548,28.477335164835164,83.28298581987546
21,7,2,2,24.23076923076923,0.0,32.30769230769231,0.0,26.820054945054945,0.2678571428571429,34.49857940746067,0.2678571428571429
21,2,14,2,0.0,24.23076923076923,0.0,16.153846153846153,0.2678571428571429,46.811469780219774,0.2678571428571429,42.77300824175824
21,4,18,1,64.61538461538461,16.153846153846153,64.61538461538461,16.153846153846153,64.00269101325893,13.107234729449988,65.38576129245261,12.79867864702711
21,9,60,1,64.61538461538461,64.61538461538461,64.61538461538461,64.61538461538461,67.20467032967034,45.53468406593406,67.20467032967034,41.496222527472526
21,8,72,4,24.23076923076923,76.73076923076923,32.30769230769231,80.76923076923077,21.641483516483515,80.84902112471579,29.71840659340659,82.92195900424242
22,7,1,1,16.153846153846153,0.0,16.153846153846153,0.0,6.544332376138808,6.898351648351649,26.974820204930452,6.898351648351649
22,2,14,1,0.0,16.153846153846153,0.0,16.153846153846153,0.13392857142857145,5.7554945054945055,23.0521978021978,5.7554945054945055
22,4,18,2,56.53846153846153,8.076923076923077,64.61538461538461,16.153846153846153,40.018543956043956,13.1285068271992,66.06088575465837,18.765259892854584
22,9,60,1,64.61538461538461,64.61538461538461,64.61538461538461,64.61538461538461,41.56318681318681,63.755682360148896,71.65095315804015,63.76507978056003
