t,rmse_hPa,max_change_hPa,input_min_hPa,smoothed_min_hPa
82,1.572037892949675,9.677247878859589,974.0573002301396,982.5424579099315
83,1.506158080335417,8.011648585200419,976.6599871796305,982.2704990637951
84,1.5636700380562314,10.077960083600601,974.9842107872596,981.9116110169339
85,1.6118931193911235,10.750451654712265,966.6348741889515,976.830378809329
86,1.6444689972632565,10.48944167357854,966.1892081362253,974.5557129561705
87,1.6642256778520015,9.045904759595146,964.4574177390004,973.2612705792171
88,1.6398619549573967,7.575720167372538,966.8986727348697,973.4376616636916
89,1.6035647681611054,8.052631993422096,967.5891313428901,974.1410332905326
90,1.5442114766572568,6.9711233081693535,970.4615968340343,976.5116242972339
91,1.5225134330566317,9.29796475326009,972.9855232291824,978.6265301668242
92,1.5062135819333016,6.769654716822629,975.6120364728162,980.811424540279
93,1.4972194985842526,7.619484456569808,977.0851091432924,982.6333250143186
94,1.4586764393900724,6.624125008900705,980.671733874128,986.0214765152856
95,1.4972912046017968,5.832653352480634,982.6011028567104,987.4674622107747
96,1.5937879048316559,8.040382209722111,980.264494270676,985.4767910132406
97,1.6839376376930109,10.891743644508779,975.9976858787378,983.437340663301
98,1.7722529328887078,11.520801304422093,973.5079978150998,982.6689952498333
99,1.852298894648776,10.273068275463629,975.0622030869372,982.3010162127172
100,1.9366005599630296,10.410052854397122,973.7231982799137,981.5095659168779
101,2.0217594605720963,10.069218608914866,972.3172377639751,981.1611066991579
102,2.075933546241131,10.795396090515851,972.4729668486228,980.9366513335159
103,2.078727672835572,12.033357311599616,975.1080632148943,981.9478798782623
104,2.0087796001309033,11.361291590297355,977.544633150602,983.6269519235705
105,1.9383804707006742,10.237467853014095,979.0658412202591,985.6516586852855
106,1.8289255830351068,11.409382706855354,981.7951508530005,988.4712500353645
107,1.7400708447089848,10.606993712803614,984.2967010321806,990.9611649356596
108,1.657298613153928,8.540317686338199,985.4282976848435,992.5545983039523
109,1.5723912350323082,8.214008595050927,985.7035107171765,992.0825731013258
110,1.487151116305216,8.119841269289623,985.1095177566046,991.341283778504
111,1.5044169680199369,10.858067683198897,986.3687025950666,992.1824020481592
112,1.6645985083205073,17.72594089216102,978.0781628988877,993.4559816319565
113,1.7431873996562997,16.827432313836198,977.3630269394096,990.6812862520725
