run,method,calibration,rendered,iou_min,interior_only,reference_nmae,motion_step_nmae,trajectory_nmae,growth_step_log_mae,total_growth_log_mae,distance_nrmse,matched_pairs,growth_pairs,collapsed_intervals,features,reference_features,frames,seconds,affine_scale,affine_shift
grid41,RA-MTM,first_frame_affine,False,0.0,False,0.04382116640355315,0.040993422898127685,0.05205114437401525,5.409352774551334e-17,1.003746894030718e-16,0.5268206139893479,186,186,0,286,286,59,1.2795712919905782,1.0,0.0
grid41,RA-MTM,native,True,0.0,False,0.04382067639935777,0.040994783323663755,0.052052837784188885,0.033153964251297324,0.003008989148615161,0.5268192806464965,186,186,0,286,286,59,1.2795712919905782,1.0,0.0
grid61,TMTM,native,False,0.0,False,0.24410083388238413,0.11876205027301029,0.2256876298001764,6.605006267133198e-17,1.1734058408837946e-16,0.5245704550907402,186,186,0,295,295,59,1.0376172499964014,1.0,0.0
grid61,TMTM,first_frame_affine,False,0.0,False,0.20281405422136317,0.053359854681503775,0.1415905461357469,9.208956775158599e-17,1.0815103601951956e-16,0.9808154133015153,186,186,0,295,295,59,1.0376172499964014,0.034687514145857724,45.77924993165565
grid61,TMTM,native,True,0.0,False,0.24410083388238413,0.11876205027301029,0.2256876298001764,6.605006267133198e-17,1.1734058408837946e-16,0.5245704550907402,186,186,0,295,295,59,1.0376172499964014,1.0,0.0
grid61,ST-MTM,native,False,0.0,False,0.40562699779339534,0.12061858574320222,0.2648224983033152,0.5802980432312851,0.46912297181377755,0.29670344720526565,186,186,0,295,295,59,1.8649122919887304,1.0,0.0
grid61,ST-MTM,first_frame_affine,False,0.0,False,0.2040826819610318,0.053139287520184014,0.1424217015844327,0.5802980432312851,0.46912297181377755,0.9917592671137243,186,186,0,295,295,59,1.8649122919887304,0.00909908689212687,46.992762678846546
grid61,ST-MTM,native,True,0.0,False,0.4056267435535147,0.12061860868287734,0.2648220290031186,0.5808846330515777,0.46914642756114966,0.29670333502602986,186,186,0,295,295,59,1.8649122919887304,1.0,0.0
grid61,RA-MTM,native,False,0.0,False,0.043855088434035946,0.04035002004927331,0.059368480770982786,5.983863345089889e-17,1.4273334669362618e-16,0.5292088975432411,186,186,0,295,295,59,1.6962725000921637,1.0,0.0
grid61,RA-MTM,first_frame_affine,False,0.0,False,0.043855088434035946,0.04035002004927331,0.059368480770982786,5.983863345089889e-17,1.4273334669362618e-16,0.5292088975432411,186,186,0,295,295,59,1.6962725000921637,1.0,0.0
grid61,RA-MTM,native,True,0.0,False,0.04385411750595279,0.04035050373504832,0.059367240812457464,0.01945771633291687,0.0014979227359315673,0.5292118454613761,186,186,0,295,295,59,1.6962725000921637,1.0,0.0
direction45,TMTM,native,False,0.0,False,0.17618042806018622,0.1102093170573675,0.17316078263973203,9.658997190418402e-17,1.423370521064418e-16,0.5253227982356204,183,183,0,288,288,59,0.6996680840384215,1.0,0.0
direction45,TMTM,first_frame_affine,False,0.0,False,0.1691242994490241,0.09635603875802873,0.15577961667363383,1.1276650530174918e-16,1.0369459122778604e-16,0.5935769769970632,183,183,0,288,288,59,0.6996680840384215,0.8153487550242643,8.745143998069985
direction45,TMTM,native,True,0.0,False,0.17618042806018622,0.1102093170573675,0.17316078263973203,9.658997190418402e-17,1.423370521064418e-16,0.5253227982356204,183,183,0,288,288,59,0.6996680840384215,1.0,0.0
direction45,ST-MTM,native,False,0.0,False,0.35127195985256404,0.12103042869054559,0.2640413875938,0.5402136599308143,0.457340016870888,0.30210092583530324,183,183,0,288,288,59,0.7538347920635715,1.0,0.0
direction45,ST-MTM,first_frame_affine,False,0.0,False,0.2519207048893486,0.08626181260146264,0.18715782080901538,0.5402136599308143,0.457340016870888,0.5017936120189875,183,183,0,288,288,59,0.7538347920635715,0.5836067881460714,19.72052015116373
direction45,ST-MTM,native,True,0.0,False,0.3512717547165149,0.12103140500827637,0.26404217258351836,0.543448043805284,0.4573498549754408,0.30210062770927365,183,183,0,288,288,59,0.7538347920635715,1.0,0.0
direction45,RA-MTM,native,False,0.0,False,0.0356074998149896,0.03323023241918308,0.04359063307718094,6.858319316225245e-17,8.242927413434621e-17,0.49232045530697877,183,183,0,288,288,59,1.8845857919659466,1.0,0.0
direction45,RA-MTM,first_frame_affine,False,0.0,False,0.0356074998149896,0.03323023241918308,0.04359063307718094,6.858319316225245e-17,8.242927413434621e-17,0.49232045530697877,183,183,0,288,288,59,1.8845857919659466,1.0,0.0
direction45,RA-MTM,native,True,0.0,False,0.03560812858662714,0.03323385805447175,0.04359404975232781,0.018809556546835443,0.001504573829974005,0.49232038527025634,183,183,0,288,288,59,1.8845857919659466,1.0,0.0
direction90,TMTM,native,False,0.0,False,0.14832572794845283,0.10131911263954889,0.12337429955968471,9.658997190418402e-17,1.423370521064418e-16,0.5253227982356203,183,183,0,288,288,59,0.693876332952641,1.0,0.0
direction90,TMTM,first_frame_affine,False,0.0,False,0.14981823412410372,0.11094272985865873,0.13700835552300838,1.1439221610027387e-16,1.9883520117747954e-16,0.48978439829545267,183,183,0,288,288,59,0.693876332952641,1.1214496826763118,-6.629310439489409
direction90,TMTM,native,True,0.0,False,0.14832572794845283,0.10131911263954889,0.12337429955968471,9.658997190418402e-17,1.423370521064418e-16,0.5253227982356203,183,183,0,288,288,59,0.693876332952641,1.0,0.0
direction90,ST-MTM,native,False,0.0,False,0.3168365891630088,0.1102138994444289,0.23246922276306023,0.5402136599308125,0.45734001687088766,0.3021009258353031,183,183,0,288,288,59,0.7530370419844985,1.0,0.0
