scene,angle,reference_weight,method,calibration,projection_span,tau_max,reference_nmae,reference_p95,trajectory_nmae,common_motion_nmae,motion_step_nmae,growth_log_mae,total_growth_log_mae,unchanged_size_log_drift,distance_nrmse,error_step_rms,error_step_max
hierarchy_change,60.0,0.25,RA-MTM,fixed_reference,163.92304845413264,20.296357646309218,0.03116918580331923,0.08850690551939099,0.10577526482298603,0.030093122941950167,0.01001649297368629,5.837344496661956e-17,5.412337245047638e-17,,0.2777607230281246,5.49793804833485,35.69410091772689
hierarchy_change,60.0,1.0,RA-MTM,fixed_reference,163.92304845413264,20.296357646309218,0.028313945840633077,0.08370842949148719,0.09161308707620493,0.016129390650635445,0.00875302379672796,5.837344496661956e-17,5.412337245047638e-17,,0.2804167646489868,5.068348775851549,34.43615475638716
hierarchy_change,60.0,4.0,RA-MTM,fixed_reference,163.92304845413264,20.296357646309218,0.024015674285043604,0.08487924819373713,0.080336305119584,0.00549810442891734,0.007806458371395236,5.837344496661956e-17,5.412337245047638e-17,,0.2888727520164567,4.865226963963847,34.115038985681345
hierarchy_change,60.0,,TMTM,first_frame_affine,163.92304845413264,,0.1986940021924425,0.37400250912677424,0.1434933906003287,0.011034122131347074,0.01295178383476082,1.2565903179106996e-16,9.645062526431048e-17,,0.6056707195464455,6.606375112967573,42.08671963356194
hierarchy_change,60.0,,ST-MTM,first_frame_affine,163.92304845413264,,0.09377125005347399,0.1803092771660961,0.06049403458079436,0.007268397123932231,0.005227967745839848,0.6079385421020254,0.6079384918076309,,0.5775322496664159,1.7720939189033396,10.39015888274919
hierarchy_change,90.0,0.25,RA-MTM,fixed_reference,120.00000000000001,26.10644478389252,0.08629083792880111,0.1993530936213562,0.08327086464114794,0.007625846170784849,0.02929869382908163,5.837344496661956e-17,5.412337245047638e-17,,0.40670227219171656,7.842071445520138,35.34802458813242
hierarchy_change,90.0,1.0,RA-MTM,fixed_reference,120.00000000000001,26.10644478389252,0.08084833379765899,0.1993530936213562,0.07789478410365412,0.004083516261203313,0.027086046948501554,5.837344496661956e-17,5.412337245047638e-17,,0.41147297810205524,7.452621229130824,33.54097414065119
hierarchy_change,90.0,4.0,RA-MTM,fixed_reference,120.00000000000001,26.10644478389252,0.0691431498803458,0.19161101456661803,0.06890651570261398,0.00537340358860671,0.023489730593547795,5.837344496661956e-17,5.412337245047638e-17,,0.43579872058679114,6.972762565077201,34.011050440810735
hierarchy_change,90.0,,TMTM,first_frame_affine,120.00000000000001,,0.19737165469377813,0.4022929740340809,0.20052212234944605,0.026399831738174666,0.018204801432713167,8.020927672047761e-17,3.3306690738754695e-17,,0.6115667337978967,6.5237585609655495,41.4100725395825
hierarchy_change,90.0,,ST-MTM,first_frame_affine,120.00000000000001,,0.14981428877736924,0.20630450207529033,0.06562751472543286,0.02162006060091284,0.0062648415877850794,0.6079385421020255,0.6079384918076312,,0.8988753978484187,1.0610684782873785,2.933183290971037
crowding,0.0,0.25,RA-MTM,fixed_reference,120.0,0.6842548585924959,0.008815001505234494,0.01164641695147568,0.0005057515804962205,0.00012595882838188367,0.00023517131895220287,4.1561083278611e-17,1.2463988174893358e-16,,0.7246408963310422,0.07238241194404205,0.2785907960925016
crowding,0.0,1.0,RA-MTM,fixed_reference,120.0,0.6842548585924959,0.008673364382580435,0.011541399408058773,0.0004250341841041906,4.524143198985383e-05,0.0002742019220948796,4.1561083278611e-17,1.2463988174893358e-16,,0.7246482228087914,0.07618693737695727,0.2785907960925016
crowding,0.0,4.0,RA-MTM,fixed_reference,120.0,0.6842548585924959,0.007392153057178083,0.011541399408058773,0.0005125827430498751,0.00013278999093553837,0.0003279068646884722,4.1561083278611e-17,1.2463988174893358e-16,,0.7247835862761622,0.07743212996837882,0.2785907960925016
crowding,0.0,,TMTM,first_frame_affine,120.0,,0.028854799688252993,0.0676705583682968,0.029527836402341395,0.02952783640234139,0.0028336914236663543,9.707946252435206e-17,4.605690828718423e-17,,0.7103340308899709,0.4018177774808743,0.7086120401337794
crowding,0.0,,ST-MTM,first_frame_affine,120.0,,0.028991769307970313,0.07279780966364059,0.030260861266045783,0.030260861266045786,0.002895277527011088,0.025927862721388938,0.02592786272138888,,0.7054126697911139,0.3990821091254934,0.7019934223982247
crowding,30.0,0.25,RA-MTM,fixed_reference,163.92304845413264,0.0,0.005665779653962681,0.00610042339640731,0.00012330128176680014,0.00012330128176679724,0.00015143039595815307,4.1561083278611e-17,1.2463988174893358e-16,,0.27556345350611317,0.05442819815264183,0.21168106615870386
