distance_nrmse,scene,method,first_frame_scale,reference_nmae,reference_p95,trajectory_nmae,common_motion_nmae,motion_step_nmae,growth_log_mae,total_growth_log_mae,unchanged_size_log_drift
0.45471169831094616,gaussian2d_advection_diffusion,ST-MTM,0.7350137577018032,0.07978619580414105,0.19727149742995737,0.03400034114571918,0.034000341145719176,0.003221162892907703,0.021966358158224918,0.021966358168445915,
0.6341331121241894,gaussian2d_hierarchy_change_seed1,TMTM,1.1140449851699579,0.1262669059018935,0.2285510178681145,0.06028251223529703,0.026109168546407203,0.007675390714653143,8.617238866914789e-17,1.4432899320127036e-16,
0.3547407025721034,gaussian2d_hierarchy_change_seed1,ST-MTM,0.7415293749560246,0.05332494510254763,0.1258618086664087,0.05273822618372256,0.017415582413910773,0.005156106647657046,0.6101838549796226,0.6101838275192614,
0.8753871882050167,gaussian2d_hierarchy_change_seed2,TMTM,0.35790035435909406,0.25114229608616456,0.34319071978307,0.0533310107417384,0.017759045097630963,0.005263492747565814,7.055987738535662e-17,5.689893001203927e-17,
0.34421420649895745,gaussian2d_hierarchy_change_seed2,ST-MTM,0.7432739164269897,0.04770240094884005,0.14188611016731825,0.06443845210356926,0.017821533618308006,0.005442254805314493,0.625446403594459,0.6254463944007024,
0.8711571735281989,gaussian2d_hierarchy_change_seed3,TMTM,0.3662061545111247,0.18652950881882716,0.26756479260691096,0.054884435159090104,0.013756199103511783,0.005047172758900769,6.158268339717665e-17,1.1622647289044608e-16,
0.3565218920497554,gaussian2d_hierarchy_change_seed3,ST-MTM,0.7337358957814138,0.049518201231863526,0.15141930148656438,0.06530416817586857,0.017862814332864792,0.005574479294738457,0.5906210896801296,0.5906210562666563,
0.711829751014164,gaussian2d_crowding_seed1,TMTM,1.2217540663861683,0.029667435321031957,0.06756984029191115,0.03069293950186804,0.03069293950186804,0.002934600965310666,4.537024691127674e-17,1.07780537966784e-16,
0.7090206445520844,gaussian2d_crowding_seed1,ST-MTM,0.2909230462553785,0.029763712912749034,0.07329101800166532,0.03122321470429259,0.031223214704292592,0.0029511449408883648,0.026066828781207186,0.026066828781207224,
0.70622144126876,gaussian2d_crowding_seed2,TMTM,1.2030018924035506,0.030548464519268237,0.0709242485238659,0.030007601570664382,0.029980393551404524,0.0029598843084485587,1.1135479112874454e-16,6.886852199627925e-17,
0.6985898747158292,gaussian2d_crowding_seed2,ST-MTM,0.3013361980842897,0.029556152043414316,0.07023360248278218,0.030236714977342767,0.030236714977342764,0.0029387388120938416,0.041343379736318034,0.041343379736318,
0.7105757081342443,gaussian2d_crowding_seed3,TMTM,1.2415293533375866,0.031103029752213938,0.07119838791298161,0.03151245293212371,0.03151245293212371,0.002972757538256409,9.126091086534653e-17,1.2568071583451968e-16,
0.7048670089109561,gaussian2d_crowding_seed3,ST-MTM,0.29508019733844554,0.030478185508666322,0.07204281401333308,0.03125771995243005,0.03125771995243005,0.002954152371221312,0.033494808402454404,0.033494808402454515,
0.38288853508640464,gaussian2d_advection_diffusion_seed1,TMTM,1.4938747206526466,0.04760774833454963,0.10448206947786583,0.032417647868735654,0.03241764786873566,0.00297863754386977,6.422000518174765e-17,1.2008623262449446e-16,
0.438949605126467,gaussian2d_advection_diffusion_seed1,ST-MTM,0.7426002779887388,0.08769567621548303,0.143041827379093,0.03371736131532618,0.03371736131532618,0.0031924881117108223,0.03252792971772578,0.0325279329495214,
0.8518814619897829,gaussian2d_advection_diffusion_seed2,TMTM,0.34325829403079355,0.22051747614359934,0.2847230996649088,0.03417671415221841,0.03417671415221841,0.0032492668536485683,4.959140736948697e-17,6.793610812794171e-17,
0.44223333206821064,gaussian2d_advection_diffusion_seed2,ST-MTM,0.7428345398097171,0.07632322321940936,0.1936205329331739,0.03490402516821642,0.03490402516821642,0.0033183410842182095,0.016961054356089526,0.01696105312670417,
0.8409972840121149,gaussian2d_advection_diffusion_seed3,TMTM,0.35756344448293914,0.22017867558470133,0.28005330640501036,0.03335348133153278,0.03335348133153278,0.0031206070147233754,8.258638998365209e-17,6.731811288962497e-17,
0.4560727722330857,gaussian2d_advection_diffusion_seed3,ST-MTM,0.7331775506239692,0.0793073302763683,0.20026203496687872,0.034419018703083275,0.034419018703083275,0.0032253619300992385,0.014481301705460298,0.014481301733204652,
0.13635183301746703,gaussian2d_translation_growth_grid49,TMTM,3.574515207686599,0.06217309476749599,0.1385182328475069,0.04444121610831808,0.03324885749974865,0.006527276136827983,5.539550299952604e-17,6.245004513516506e-17,
0.20236167682203002,gaussian2d_translation_growth_grid49,ST-MTM,0.8024575742370759,0.05212473364678315,0.12911165521360132,0.05141930980548902,0.051419309805489026,0.00494321272390323,0.32609122398576473,0.3260912239857648,
0.14205755391958524,gaussian2d_translation_growth_grid81,TMTM,3.3470393836991357,0.0616627079888664,0.14075522399045312,0.044830337880496736,0.036368993480993754,0.00528132745149588,1.0015136867972766e-16,1.4849232954361468e-16,
0.2002136690687015,gaussian2d_translation_growth_grid81,ST-MTM,0.8045749872627069,0.05253020436188285,0.12970059719550286,0.0520837515629958,0.05208375156299579,0.004934971514511935,0.29619557969269766,0.29619557969269766,
