t,current,previous,track,iou,boundary
20,1358,1353,35,0.20394736842105263,True
20,1676,1672,18,0.11578947368421053,True
21,30,233,23,0.8516746411483254,True
21,176,9,29,0.448,True
21,1236,1358,35,0.2967032967032967,True
21,1475,1415,40,0.05670103092783505,True
22,37,30,23,0.521978021978022,True
22,1244,1236,35,0.2311111111111111,True
22,1557,1475,40,0.35051546391752575,True
23,40,37,23,0.5656565656565656,True
23,1292,1244,35,0.3360655737704918,False
23,1668,1557,40,0.014285714285714285,True
24,39,40,23,0.17857142857142858,True
24,1276,1312,42,0.029411764705882353,True
24,1551,1292,35,0.24789915966386555,True
25,1358,1316,45,0.041666666666666664,False
25,1680,1551,35,0.515527950310559,True
26,574,410,47,0.2,True
26,1258,1169,48,0.2572463768115942,False
26,1358,1358,45,0.4528301886792453,True
26,1680,1680,35,0.24096385542168675,True
27,615,574,47,0.4166666666666667,True
27,1385,1258,48,0.245136186770428,True
28,1134,1385,48,0.17330210772833723,True
29,0,0,50,0.14285714285714285,True
29,1223,1134,48,0.20374707259953162,True
29,1664,1660,53,0.4413793103448276,True
30,0,0,50,0.3333333333333333,True
30,394,598,54,0.008928571428571428,False
30,1516,1223,48,0.00909090909090909,True
30,1662,1664,53,0.28187919463087246,True
31,0,0,50,0.9047619047619048,True
31,22,270,55,0.018433179723502304,True
31,1066,1066,56,0.08620689655172414,True
31,1381,1662,53,0.2748091603053435,True
31,1680,1516,48,0.34782608695652173,True
32,0,0,50,0.6666666666666666,True
32,20,22,55,0.5892857142857143,True
32,1189,1066,56,0.647887323943662,True
32,1427,1381,53,0.1873065015479876,True
33,0,0,50,0.09523809523809523,True
33,516,20,55,0.24285714285714285,True
33,1353,1189,56,0.3597560975609756,True
33,1475,1427,53,0.46594427244582043,True
34,519,516,55,0.04918032786885246,False
34,1312,1353,56,0.6038461538461538,True
34,1680,1475,53,0.32131147540983607,True
35,398,519,55,0.026200873362445413,True
35,1316,1312,56,0.6216216216216216,True
35,1680,1680,53,0.4803921568627451,True
36,10,9,61,0.2653061224489796,True
36,320,398,55,0.22270742358078602,True
36,1400,1316,56,0.7281746031746031,True
36,1680,1680,53,0.061224489795918366,True
37,12,10,61,0.4875,True
37,39,38,63,0.1111111111111111,True
37,198,320,55,0.11764705882352941,False
37,1322,1400,56,0.08620689655172414,True
38,11,12,61,0.2,True
38,204,39,63,0.04225352112676056,True
38,1357,1322,56,0.09302325581395349,False
39,12,11,61,0.47368421052631576,True
39,1454,1448,67,0.07407407407407407,False
40,0,0,68,0.4,True
40,1614,1454,67,0.027846534653465347,True
41,1410,1614,67,0.05136138613861386,True
42,811,774,71,0.034482758620689655,False
42,1412,1410,67,0.3855421686746988,False
43,1104,811,71,0.26109660574412535,True
43,1476,1412,67,0.06741573033707865,True
44,11,16,75,0.10655737704918032,True
44,316,560,76,0.011194029850746268,True
44,1270,1104,71,0.27586206896551724,True
44,1353,1476,67,0.7228571428571429,True
45,11,11,75,0.7317073170731707,True
45,609,316,76,0.22591362126245848,True
45,1309,1270,71,0.5362318840579711,True
45,1435,1353,67,0.7191489361702128,True
46,10,11,75,0.79,True
46,37,160,77,0.2,True
46,365,609,76,0.06363636363636363,True
46,1530,1435,67,0.10043668122270742,True
47,10,10,75,0.05102040816326531,True
47,37,860,78,0.09012875536480687,True
47,1435,1435,79,0.4230769230769231,True
47,1660,1530,67,0.3472222222222222,True
48,10,10,75,0.04032258064516129,True
48,286,37,78,0.75,True
48,1312,1435,79,0.1774193548387097,True
48,1538,1660,67,0.3128834355828221,True
49,8,10,75,0.2903225806451613,True
49,283,286,78,0.9130434782608695,True
49,1068,1312,79,0.275,True
49,1667,1538,67,0.03680981595092025,True
50,327,283,78,0.7638190954773869,True
50,1492,1068,79,0.20064724919093851,True
51,282,327,78,0.5,True
51,1353,1353,83,0.03773584905660377,True
51,1661,1492,79,0.24034334763948498,True
52,9,131,84,0.5722222222222222,True
52,323,282,78,0.762214983713355,True
52,1531,1353,83,0.12282734646581692,True
53,0,9,84,0.009174311926605505,True
53,163,323,78,0.7949790794979079,True
53,1664,1531,83,0.8103448275862069,True
54,0,0,84,1.0,True
54,21,20,87,0.2631578947368421,True
54,245,163,78,0.5677083333333334,True
54,1394,1664,83,0.19241573033707865,True
55,0,0,84,0.2857142857142857,True
55,14,21,87,0.2823529411764706,True
55,286,245,78,0.7203389830508474,True
55,1654,1394,83,0.20422535211267606,True
56,0,0,84,0.875,True
56,20,14,87,0.2112676056338028,True
56,40,286,78,0.9285714285714286,True
56,1663,1654,83,0.16216216216216217,True
57,0,0,84,0.75,True
57,23,20,87,0.12631578947368421,True
57,40,40,78,0.42105263157894735,True
57,1674,1663,83,0.12682926829268293,True
58,27,23,87,0.33695652173913043,True
58,1680,1674,83,0.12926829268292683,True
