scene,mode,t,feature,q,x,width,true_measure
translation,RelativeWidth,3,1,41.199999999999996,41.199999966103306,4.859999999999999,81
translation,RelativeWidth,3,2,62.19999999999999,62.200000026648254,5.46,91
translation,RelativeWidth,4,0,26.099999999999998,26.100000001035493,4.68,78
translation,RelativeWidth,4,1,42.199999999999996,42.19999999515762,4.859999999999999,81
translation,RelativeWidth,4,2,63.199999999999996,63.20000000380689,5.46,91
translation,RelativeWidth,5,0,27.1,27.100000000147936,4.68,78
translation,RelativeWidth,5,1,43.199999999999996,43.19999999930823,4.859999999999999,81
translation,RelativeWidth,5,2,64.2,64.20000000054385,5.46,91
translation,RelativeWidth,6,0,28.1,28.10000000002114,4.68,78
translation,RelativeWidth,6,1,44.199999999999996,44.19999999990118,4.859999999999999,81
translation,RelativeWidth,6,2,65.2,65.2000000000777,5.46,91
translation,RelativeWidth,7,0,29.1,29.10000000000302,4.68,78
translation,RelativeWidth,7,1,45.199999999999996,45.199999999985884,4.859999999999999,81
translation,RelativeWidth,7,2,66.2,66.2000000000111,5.46,91
translation,RelativeWidth,8,0,30.1,30.10000000000044,4.68,78
translation,RelativeWidth,8,1,46.199999999999996,46.199999999997985,4.859999999999999,81
translation,RelativeWidth,8,2,67.2,67.2000000000016,5.46,91
translation,RelativeWidth,9,0,31.1,31.100000000000072,4.68,78
translation,RelativeWidth,9,1,47.199999999999996,47.19999999999972,4.859999999999999,81
translation,RelativeWidth,9,2,68.2,68.20000000000024,5.46,91
translation,RelativeWidth,10,0,32.1,32.10000000000003,4.68,78
translation,RelativeWidth,10,1,48.199999999999996,48.199999999999974,4.859999999999999,81
translation,RelativeWidth,10,2,69.2,69.20000000000005,5.46,91
translation,RelativeWidth,11,0,33.099999999999994,33.10000000000001,4.68,78
translation,RelativeWidth,11,1,49.199999999999996,49.2,4.859999999999999,81
translation,RelativeWidth,11,2,70.2,70.20000000000002,5.46,91
translation,RelativeWidth,12,0,34.1,34.10000000000002,4.68,78
translation,RelativeWidth,12,1,50.199999999999996,50.20000000000002,4.859999999999999,81
translation,RelativeWidth,12,2,71.2,71.20000000000003,5.46,91
translation,OldTime,0,0,22.099999999999998,22.100002486210563,4.68,78
translation,OldTime,0,1,38.199999999999996,38.1999883734349,4.859999999999999,81
translation,OldTime,0,2,59.199999999999996,59.20000914035453,5.46,91
translation,OldTime,1,0,23.099999999999998,22.100001413513212,4.68,78
translation,OldTime,1,1,39.199999999999996,38.20000271064642,4.859999999999999,81
translation,OldTime,1,2,60.19999999999999,59.200000447928765,5.46,91
translation,OldTime,2,0,24.099999999999998,23.099999999999998,4.68,78
translation,OldTime,2,1,40.199999999999996,39.199999999999996,4.859999999999999,81
translation,OldTime,2,2,61.19999999999999,60.19999999999999,5.46,91
translation,OldTime,3,0,25.099999999999998,24.099999999999998,4.68,78
translation,OldTime,3,1,41.199999999999996,40.199999999999996,4.859999999999999,81
translation,OldTime,3,2,62.19999999999999,61.19999999999999,5.46,91
translation,OldTime,4,0,26.099999999999998,25.099999999999998,4.68,78
translation,OldTime,4,1,42.199999999999996,41.199999999999996,4.859999999999999,81
translation,OldTime,4,2,63.199999999999996,62.199999999999996,5.46,91
translation,OldTime,5,0,27.1,26.1,4.68,78
translation,OldTime,5,1,43.199999999999996,42.199999999999996,4.859999999999999,81
translation,OldTime,5,2,64.2,63.2,5.46,91
translation,OldTime,6,0,28.1,27.1,4.68,78
translation,OldTime,6,1,44.199999999999996,43.199999999999996,4.859999999999999,81
translation,OldTime,6,2,65.2,64.2,5.46,91
translation,OldTime,7,0,29.1,28.1,4.68,78
translation,OldTime,7,1,45.199999999999996,44.199999999999996,4.859999999999999,81
translation,OldTime,7,2,66.2,65.2,5.46,91
translation,OldTime,8,0,30.1,29.1,4.68,78
translation,OldTime,8,1,46.199999999999996,45.199999999999996,4.859999999999999,81
translation,OldTime,8,2,67.2,66.2,5.46,91
translation,OldTime,9,0,31.1,30.1,4.68,78
translation,OldTime,9,1,47.199999999999996,46.199999999999996,4.859999999999999,81
translation,OldTime,9,2,68.2,67.2,5.46,91
translation,OldTime,10,0,32.1,31.1,4.68,78
translation,OldTime,10,1,48.199999999999996,47.199999999999996,4.859999999999999,81
translation,OldTime,10,2,69.2,68.2,5.46,91
translation,OldTime,11,0,33.099999999999994,32.099999999999994,4.68,78
translation,OldTime,11,1,49.199999999999996,48.199999999999996,4.859999999999999,81
translation,OldTime,11,2,70.2,69.2,5.46,91
translation,OldTime,12,0,34.1,33.1,4.68,78
translation,OldTime,12,1,50.199999999999996,49.199999999999996,4.859999999999999,81
translation,OldTime,12,2,71.2,70.2,5.46,91
translation,NoTime,0,0,22.099999999999998,22.100002486210563,4.68,78
translation,NoTime,0,1,38.199999999999996,38.1999883734349,4.859999999999999,81
translation,NoTime,0,2,59.199999999999996,59.20000914035453,5.46,91
