scene,t,hierarchy_switch,tau,budget,reference_max,any_initial_layout_bound,initial_error_box_bound,cumulative_motion_lower_bound,cumulative_motion_max,step_motion_lower_bound,step_motion_max
hierarchy_change,13,False,0.0,1.0,1.0,12.264152613578403,13.264152613578403,13.264152613578403,15.264152613578403,0.0,0.21754633835859494
hierarchy_change,14,False,0.0,1.0,1.0,12.264152613578403,13.264152613578403,13.264152613578403,15.264152613578403,0.0,0.11005139960658283
hierarchy_change,15,False,0.0,1.0,1.0,12.264152613578403,13.264152613578403,13.264152613578403,15.264152613578403,0.0,0.2489742897341145
hierarchy_change,16,False,0.0,1.0,1.0,12.264152613578403,13.264152613578403,13.264152613578403,15.264152613578403,0.0,0.21065919967178104
hierarchy_change,17,True,0.0,1.0,1.0,12.264152613578403,13.264152613578403,13.264152613578403,15.264152613578403,0.0,0.2348748950333004
hierarchy_change,18,False,0.0,1.0,1.0,12.264152613578403,13.264152613578403,13.264152613578403,15.264152613578403,0.0,0.2539931092823977
hierarchy_change,19,False,0.0,1.0,1.0,12.264152613578403,13.264152613578403,13.264152613578403,15.264152613578403,0.0,0.28177162051106563
hierarchy_change,20,False,0.0,1.0,1.0,12.264152613578403,13.264152613578403,13.264152613578403,15.264152613578403,0.0,0.2455642715637083
advection_diffusion,0,False,13.02705776091166,14.02705776091166,14.02705776091166,0.0,0.0,0.0,0.0,0.0,0.0
advection_diffusion,1,False,13.007901340971785,14.007901340971785,14.007901340971785,0.0,0.01915641993987549,0.01915641993987549,0.019156419939903913,0.01915641993987549,0.019156419939903913
advection_diffusion,2,False,12.913792443471522,13.913792443471522,13.913792443471522,0.0,0.11326531744013835,0.11326531744013835,0.11326531744013835,0.09410889750026286,0.09410889750026286
advection_diffusion,3,False,13.131654998647193,14.131654998647193,14.131654998647193,0.0,0.0,0.10459723773551843,0.10459723773553264,0.21786255517565678,0.217862555175671
advection_diffusion,4,False,13.153983784997664,14.153983784997664,14.153983784997664,0.0,0.0,0.1269260240859893,0.1269260240860035,0.022328786350470864,0.022328786350485075
advection_diffusion,5,False,13.085950008324716,14.085950008324716,14.085950008324716,0.0,0.0,0.05889224741305554,0.05889224741305554,0.06803377667294797,0.06803377667294797
advection_diffusion,6,False,12.896310924524357,13.896310924524357,13.896310924524357,0.0,0.13074683638730278,0.13074683638730278,0.1307468363873312,0.18963908380035832,0.18963908380038674
advection_diffusion,7,False,13.036430622021115,14.036430622021115,14.036430622021115,0.0,0.0,0.009372861109454789,0.05961773223415534,0.14011969749675757,0.14011969749675757
advection_diffusion,8,False,12.968159958011952,13.968159958011952,13.968159958011952,0.0,0.058897802899707585,0.058897802899707585,0.06626477260840602,0.06827066400916237,0.06827066400916237
advection_diffusion,9,False,13.04230270632901,14.04230270632901,14.04230270632901,0.0,0.0,0.015244945417350664,0.04918880925650981,0.07414274831705825,0.07414274831705825
advection_diffusion,10,False,12.947178928280493,13.947178928280493,13.947178928280493,0.0,0.07987883263116657,0.07987883263116657,0.07987883263116657,0.09512377804851724,0.09512377804851724
advection_diffusion,11,False,12.946922759160486,13.946922759160486,13.946922759160486,0.0,0.08013500175117372,0.08013500175117372,0.08013500175120214,0.00025616912000714365,0.039660536881619635
advection_diffusion,12,False,12.891648262918991,13.891648262918991,13.891648262918991,0.0,0.13540949799266855,0.13540949799266855,0.13540949799268276,0.05527449624149483,0.05527449624149483
advection_diffusion,13,False,12.900103595214844,13.900103595214844,13.900103595214844,0.0,0.12695416569681583,0.12695416569681583,0.12695416569684426,0.008455332295852713,0.008455332295852713
advection_diffusion,14,False,12.817682357235483,13.817682357235483,13.817682357235483,0.0,0.20937540367617657,0.20937540367617657,0.20937540367619079,0.08242123797936074,0.08242123797936074
advection_diffusion,15,False,12.762237662165006,13.762237662165006,13.762237662165006,0.0,0.2648200987466538,0.2648200987466538,0.264820098746668,0.05544469507047722,0.05544469507047722
