scene,method,t,scalar_topology_equal,source_leaf_count,output_leaf_count,hierarchy_legal
advection_diffusion_seed2,TMTM,2,True,4,4,True
advection_diffusion_seed2,TMTM,3,True,4,4,True
advection_diffusion_seed2,TMTM,4,True,4,4,True
advection_diffusion_seed2,TMTM,5,True,4,4,True
advection_diffusion_seed2,TMTM,6,True,4,4,True
advection_diffusion_seed2,TMTM,7,True,4,4,True
advection_diffusion_seed2,TMTM,8,True,4,4,True
advection_diffusion_seed2,TMTM,9,True,4,4,True
advection_diffusion_seed2,TMTM,10,True,4,4,True
advection_diffusion_seed2,TMTM,11,True,4,4,True
advection_diffusion_seed2,TMTM,12,True,4,4,True
advection_diffusion_seed2,TMTM,13,True,4,4,True
advection_diffusion_seed2,TMTM,14,True,4,4,True
advection_diffusion_seed2,TMTM,15,True,4,4,True
advection_diffusion_seed2,TMTM,16,True,4,4,True
advection_diffusion_seed2,TMTM,17,True,4,4,True
advection_diffusion_seed2,TMTM,18,True,4,4,True
advection_diffusion_seed2,TMTM,19,True,4,4,True
advection_diffusion_seed2,TMTM,20,True,4,4,True
advection_diffusion_seed2,ST-MTM,0,True,4,4,True
advection_diffusion_seed2,ST-MTM,1,True,4,4,True
advection_diffusion_seed2,ST-MTM,2,True,4,4,True
advection_diffusion_seed2,ST-MTM,3,True,4,4,True
advection_diffusion_seed2,ST-MTM,4,True,4,4,True
advection_diffusion_seed2,ST-MTM,5,True,4,4,True
advection_diffusion_seed2,ST-MTM,6,True,4,4,True
advection_diffusion_seed2,ST-MTM,7,True,4,4,True
advection_diffusion_seed2,ST-MTM,8,True,4,4,True
advection_diffusion_seed2,ST-MTM,9,True,4,4,True
advection_diffusion_seed2,ST-MTM,10,True,4,4,True
advection_diffusion_seed2,ST-MTM,11,True,4,4,True
advection_diffusion_seed2,ST-MTM,12,True,4,4,True
advection_diffusion_seed2,ST-MTM,13,True,4,4,True
advection_diffusion_seed2,ST-MTM,14,True,4,4,True
advection_diffusion_seed2,ST-MTM,15,True,4,4,True
advection_diffusion_seed2,ST-MTM,16,True,4,4,True
advection_diffusion_seed2,ST-MTM,17,True,4,4,True
advection_diffusion_seed2,ST-MTM,18,True,4,4,True
advection_diffusion_seed2,ST-MTM,19,True,4,4,True
advection_diffusion_seed2,ST-MTM,20,True,4,4,True
advection_diffusion_seed2,RA-MTM,0,True,4,4,True
advection_diffusion_seed2,RA-MTM,1,True,4,4,True
advection_diffusion_seed2,RA-MTM,2,True,4,4,True
advection_diffusion_seed2,RA-MTM,3,True,4,4,True
advection_diffusion_seed2,RA-MTM,4,True,4,4,True
advection_diffusion_seed2,RA-MTM,5,True,4,4,True
advection_diffusion_seed2,RA-MTM,6,True,4,4,True
advection_diffusion_seed2,RA-MTM,7,True,4,4,True
advection_diffusion_seed2,RA-MTM,8,True,4,4,True
advection_diffusion_seed2,RA-MTM,9,True,4,4,True
advection_diffusion_seed2,RA-MTM,10,True,4,4,True
advection_diffusion_seed2,RA-MTM,11,True,4,4,True
advection_diffusion_seed2,RA-MTM,12,True,4,4,True
advection_diffusion_seed2,RA-MTM,13,True,4,4,True
advection_diffusion_seed2,RA-MTM,14,True,4,4,True
advection_diffusion_seed2,RA-MTM,15,True,4,4,True
advection_diffusion_seed2,RA-MTM,16,True,4,4,True
advection_diffusion_seed2,RA-MTM,17,True,4,4,True
advection_diffusion_seed2,RA-MTM,18,True,4,4,True
advection_diffusion_seed2,RA-MTM,19,True,4,4,True
advection_diffusion_seed2,RA-MTM,20,True,4,4,True
advection_diffusion_seed3,TMTM,0,True,4,4,True
advection_diffusion_seed3,TMTM,1,True,4,4,True
