scene,method,distance_nrmse,reference_nmae,trajectory_nmae,growth_log_mae,rendered_reference_nmae,rendered_reference_p95,rendered_trajectory_nmae,rendered_common_motion_nmae,rendered_motion_step_nmae,rendered_growth_log_mae,rendered_total_growth_log_mae,rendered_unchanged_size_log_drift
collective_growth,ST-MTM,0.004097114055243177,0.0005283035847201592,0.0005811339431921613,0.15141931039994072,0.0005258221875638686,0.0011131674407546417,0.0005310311423377378,0.00019444444444444723,0.00041760776007006127,0.1520020976908657,0.15185313443890552,
collective_growth,RA-MTM,1.1912835102924591e-06,2.2432756090865964e-07,3.110016604710195e-07,3.122502256758253e-17,0.00012965512476992495,0.0002306627585083909,0.0001455924659393294,7.662975628295122e-05,0.00016952993540682372,0.003909671459541498,0.002097531465842982,
translation_growth,TMTM,0.010000256588822707,0.04193602693602694,0.04600000000000002,9.17090477633072e-17,0.04193602693602694,0.08277777777777777,0.04600000000000002,0.04600000000000004,0.008361111111111114,9.17090477633072e-17,7.771561172376095e-17,
translation_growth,ST-MTM,0.0040956206198744394,0.04171717171717164,0.045888888888888854,0.1510628037834912,0.04173130651021377,0.08236564284336328,0.045905263282970475,0.045905263282970475,0.00828918116147402,0.15145199315670804,0.15145880736123132,
translation_growth,RA-MTM,1.1917437032001894e-06,2.2435563523356709e-07,3.110001116348984e-07,3.122502256758253e-17,0.00013398518650107463,0.00023725777560660078,0.0001660153069532792,0.00011789610812572548,0.00022022743309992184,0.003297267994314968,0.0019242261586527407,
hierarchy_conflict,TMTM,0.35313589791128935,0.06562111606861581,0.0,0.0,0.06562111606861581,0.12988990691828897,0.0,0.0,0.0,0.0,0.0,0.0
hierarchy_conflict,ST-MTM,0.13009513968503245,0.030441384566474824,1.4802973661668754e-17,3.608224830031761e-16,0.030644123382035218,0.04700106787453606,0.0,0.0,0.0,0.0,0.0,0.0
hierarchy_conflict,RA-MTM,0.1312884134121422,0.027640391496319798,6.547991201107569e-09,0.0,0.02768542399148476,0.044522831115836624,0.0,0.0,0.0,0.0,0.0,0.0
topology_change,TMTM,0.3378681087216806,0.0638640898420167,0.0022935275080598746,2.5153490401663703e-17,0.0638640898420167,0.12988990691828897,0.0022935275080598746,0.0014334095313666645,0.0007231086247999996,2.5153490401663703e-17,1.0096090630185018e-16,0.0
topology_change,ST-MTM,0.12629528330068038,0.029837865682777284,0.0029865741223948352,0.06554098062973857,0.030109741645614044,0.05054278434477468,0.002986574122394862,0.002986574122394862,0.0006908509820708224,0.0659901764860548,0.06592770916683978,0.10354067894084033
