scale,crowding,extra_budget,t,tau,budget,reference_max,projection_distortion,geometry_lower_bound,distance_nrmse,global_gap_bound
0.6,0.8,0.0,6,1.8338425727739747,1.8338425727739747,1.8338425727739747,0.8379995048978837,0.769711148498462,0.7863309486670578,0.0
0.6,0.8,0.0,7,1.9503224511787494,1.9503224511787494,1.9503224511787494,0.8417712709189642,0.7695434099533474,0.7870190872616719,0.0
0.6,0.8,0.0,8,2.0100808587249333,2.0100808587249333,2.0100808587249333,0.8439279211027326,0.7692623838466733,0.787339251871182,0.0
0.6,0.8,0.0,9,2.225822679924235,2.225822679924235,2.225822679924235,0.8497853611203279,0.767192699828733,0.7871374639765298,0.0
0.6,0.8,0.0,10,2.305400325980216,2.305400325980216,2.305400325980216,0.8510611713580781,0.7653245747238426,0.7860836681486895,0.0
0.6,0.8,0.0,11,2.2531752950643664,2.2531752950643664,2.2531752950643664,0.8502438026236938,0.7668061302259226,0.7870675093493014,0.0
0.6,0.8,0.0,12,2.323451480322973,2.323451480322973,2.323451480322973,0.8522825272067821,0.7659010655184192,0.786755852086675,1.2823875294998288e-10
0.6,0.8,0.0,13,2.5194639008620783,2.5194639008620783,2.5194639008620783,0.8568690711337391,0.7632674392239134,0.78589927231087,0.0
0.6,0.8,0.0,14,2.762776583473155,2.762776583473155,2.762776583473155,0.8633961548731824,0.7605351621934382,0.7854395146400686,0.0
0.6,0.8,0.0,15,2.8592470366379104,2.8592470366379104,2.8592470366379104,0.8668977604963352,0.760818999579977,0.7864271983568796,0.0
0.6,0.8,0.0,16,3.0122823978976356,3.0122823978976356,3.0122823978976356,0.8703530644200271,0.7584784771936752,0.785447165376223,2.2737367544323206e-13
0.6,0.8,0.0,17,3.201075851797654,3.201075851797654,3.201075851797654,0.8758427585927213,0.7570867457829781,0.7856130693647431,6.821210263296962e-13
0.6,0.8,0.0,18,3.276274102249971,3.276274102249971,3.276274102249971,0.8775963522218946,0.7557723274988437,0.78502500860528,0.0
0.6,0.8,0.0,19,3.2306334705694297,3.2306334705694297,3.2306334705694297,0.8772638741215494,0.7574413855832367,0.7863312589669209,0.0
0.6,0.8,0.0,20,3.296216972907729,3.296216972907729,3.296216972907729,0.8785612151394935,0.7561638394842537,0.7856190963140821,0.0
