scene,method,status,frames,reference_mae,motion_mae,center_motion_mae,size_ratio_mae,distance_nrmse,sns,static_drift_max,hierarchy_violations,max_overlap,max_eccentricity,max_tau,max_budget_violation,seconds,reference_nmae,reference_p95,trajectory_nmae,common_motion_nmae,motion_step_nmae,growth_log_mae,total_growth_log_mae,unchanged_size_log_drift,rendered_reference_nmae,rendered_reference_p95,rendered_trajectory_nmae,rendered_common_motion_nmae,rendered_motion_step_nmae,rendered_growth_log_mae,rendered_total_growth_log_mae,rendered_unchanged_size_log_drift,family,seed,grid,total_area_ratio_final,true_total_area_ratio_final,mean_displacement_final,true_mean_displacement_final
gaussian2d_advection_diffusion_seed1,ST-MTM,defined,21,12.454455359357532,0.38309857340529857,0.39225294843957526,0.030366579115987016,0.36798843341552734,0.13542296128373346,,0,0.0,12.293356623585254,,,0.2311767500359565,0.1037871279946461,0.2287704309285243,0.03371736131532617,0.033717361315326176,0.0031924881117108214,0.03252792971772576,0.0325279329495216,,0.10374384036965344,0.22844591095465877,0.033575345358265306,0.03357534535826531,0.0031795775701598315,0.03154509871478843,0.03137456217613903,,advection_diffusion,1,65,1.0000000000000002,0.9325946445060018,7.105427357601002e-15,7.661971468105978
gaussian2d_advection_diffusion_seed1,RA-MTM,defined,21,1.0,0.0,0.08347172787652424,3.9650822308041306e-17,0.3873730295998554,0.11552325685418333,,0,0.0,4.310806625455378,0.0,0.0,0.0760336669627577,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,4.322171960613463e-17,7.39425881635114e-17,,0.008343840592092235,0.008570053696481023,0.00019546717851497088,0.00018047807155484042,0.0001804231663773026,0.0013862757601671664,0.00040459757601890995,,advection_diffusion,1,65,0.9325946445060018,0.9325946445060018,7.661971468105978,7.661971468105978
gaussian2d_advection_diffusion_seed2,TMTM,defined,21,26.412566090008195,0.37444609166614573,0.3744460916661454,5.551115123125783e-17,0.596260219213293,0.17771963847395034,,0,0.0,0.014204545454560957,,,0.15662499994505197,0.22010471741673496,0.41253430217248127,0.03278518047124672,0.032785180471246726,0.0031203840972178812,5.952269926945419e-17,7.305354238207328e-17,,0.22010471741673496,0.41253430217248127,0.03278518047124672,0.032785180471246726,0.0031203840972178812,5.952269926945419e-17,7.305354238207328e-17,,advection_diffusion,2,65,0.9666011787819254,0.9666011787819253,0.4829545454545414,7.964018602123706
gaussian2d_advection_diffusion_seed2,ST-MTM,defined,21,12.959043392672822,0.39820093010618546,0.4026737727364404,0.015998310362817653,0.37230255086357866,0.13860864002963963,,0,0.0,10.449045654911956,,,0.5587471249746159,0.10799202827227351,0.17175062177587422,0.034904025168216446,0.034904025168216446,0.003318341084218212,0.016961054356089536,0.016961053126704213,,0.10799999364002584,0.1716635316448217,0.03501320761445362,0.035013207614453624,0.003318341084218212,0.01768330616471994,0.017570762947976222,,advection_diffusion,2,65,0.9999999999999999,0.9666011787819253,-3.552713678800501e-15,7.964018602123706
gaussian2d_advection_diffusion_seed2,RA-MTM,defined,21,9.217164183044597,0.03986475653384065,0.05379495554934908,3.9650822308041306e-17,0.3864956964995809,0.14430405980138244,,0,0.0,5.189062500000006,12.20409919543441,0.0,0.12994949996937066,0.07680970152537164,0.10955599090611398,0.0007684739429171113,6.350549001540898e-05,0.0003322063044486721,4.2408567976770503e-17,1.0718422677191697e-16,,0.07681621207530474,0.10953401119693953,0.0008253726199420741,8.96860811880562e-05,0.00036023148247235734,0.0013536048301277682,0.0006184215513771625,,advection_diffusion,2,65,0.9666011787819253,0.9666011787819253,7.96794366676953,7.964018602123706
gaussian2d_advection_diffusion_seed3,TMTM,defined,21,26.432522057830354,0.351950480242852,0.3517729234246702,5.947623346206196e-17,0.5843387106011043,0.1732752865275219,,0,0.0,0.014204545454546746,,,0.15602066705469042,0.2202710171485863,0.4088904290798452,0.0314390234379317,0.0314390234379317,0.0029329206686904336,6.344209012298929e-17,7.807339844068118e-17,,0.2202710171485863,0.4088904290798452,0.0314390234379317,0.0314390234379317,0.0029329206686904336,6.344209012298929e-17,7.807339844068118e-17,,advection_diffusion,3,65,0.9660622966062297,0.9660622966062297,0.7031250000000018,7.740868632238168
gaussian2d_advection_diffusion_seed3,ST-MTM,defined,21,13.515167087891768,0.3870434316119084,0.3773602459011727,0.013627200781016657,0.38380876078204734,0.14730667201449996,,0,0.0,11.795028022062795,,,0.23397987498901784,0.11262639239909807,0.17628333160343937,0.03441901870308326,0.03441901870308326,0.0032253619300992367,0.01448130170546027,0.014481301733204485,,0.11263218534345382,0.17653457508430856,0.03448084480045039,0.03448084480045039,0.0032253619300992367,0.014722195395939858,0.014480787766590217,,advection_diffusion,3,65,1.0,0.9660622966062297,0.0,7.740868632238168
gaussian2d_advection_diffusion_seed3,RA-MTM,defined,21,9.840524660218213,0.048550035408487055,0.05720181244321958,3.8329128231106594e-17,0.39695606505260433,0.15223247198636244,,0,0.0,5.853515625,13.541423973974418,0.0,0.12341154203750193,0.0820043721684851,0.12047725532953545,0.0010207738807047736,6.0197284423960105e-05,0.0004045836284040588,4.0980131614520856e-17,1.2355567957644808e-16,,0.08199818041980184,0.12046784753457143,0.001117123111752384,8.504128686520156e-05,0.0004835434538474058,0.0011027424606872378,0.0006794660666658809,,advection_diffusion,3,65,0.9660622966062296,0.9660622966062297,7.742450997386625,7.740868632238168
gaussian2d_translation_growth_grid49,TMTM,defined,21,16.776978808860587,0.5356855268683869,0.5352688602017203,4.9343245538895844e-17,0.7399491907777784,0.009004661333435549,,0,0.0,0.025000000000005684,,,0.07511258393060416,0.1398081567405049,0.22477782571852187,0.04633597647215563,0.046335976472155614,0.004464046057236558,3.6544841227244736e-17,6.938893903907228e-17,,0.1398081567405049,0.22477782571852187,0.04633597647215563,0.046335976472155614,0.004464046057236558,3.6544841227244736e-17,6.938893903907228e-17,,translation_growth,0,49,1.8270440251572326,1.8270440251572326,1.1500000000000032,11.863710537367743
gaussian2d_translation_growth_grid49,ST-MTM,defined,21,8.373550146686313,0.5931855268683875,0.5931855268683875,0.38403707064315384,0.03641210611859317,0.0013184069656452927,,0,0.0,1.7763568394002505e-15,,,0.033842458040453494,0.06977958455571927,0.13769870746397786,0.051419309805489026,0.051419309805489026,0.00494321272390323,0.32609122398576473,0.32609122398576484,,0.06977738379061929,0.1378057077826191,0.05157000197115117,0.05157000197115118,0.004955770404375074,0.32690217028151014,0.32666335425677673,,translation_growth,0,49,0.9999999999999997,1.8270440251572326,-1.0066022089934753e-14,11.863710537367743
gaussian2d_translation_growth_grid49,RA-MTM,defined,21,1.0,0.0,1.1362043835324206e-05,6.696583323135864e-17,0.2032601952947101,0.018017608553582774,,0,0.0,0.0004747188514784284,0.0,0.0,0.05810625001322478,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,4.972873964466847e-17,4.4408920985006264e-17,,0.00832729389113082,0.008516347127807217,0.00015498811444964516,8.333241988043452e-05,0.00013775315058002965,0.00556265817254419,0.005354014845918513,,translation_growth,0,49,1.8270440251572326,1.8270440251572326,11.863710537367743,11.863710537367743
