scene,method,status,frames,reference_mae,motion_mae,center_motion_mae,size_ratio_mae,distance_nrmse,sns,static_drift_max,hierarchy_violations,max_overlap,max_eccentricity,max_tau,max_budget_violation,seconds,reference_nmae,reference_p95,trajectory_nmae,common_motion_nmae,motion_step_nmae,growth_log_mae,total_growth_log_mae,unchanged_size_log_drift,rendered_reference_nmae,rendered_reference_p95,rendered_trajectory_nmae,rendered_common_motion_nmae,rendered_motion_step_nmae,rendered_growth_log_mae,rendered_total_growth_log_mae,rendered_unchanged_size_log_drift
growth,TightBudget,defined,11,0.0,0.0,6.394884621840902e-15,3.027880976250427e-17,0.0,0.0,0.0,0,0.0,1.4210854715202004e-14,0.0,0.0,0.02614379092119634,0.0,0.0,0.0,0.0,0.0,2.6367796834847467e-17,6.071532165918825e-17,0.0,,,,,,,,
growth,LooseBudget,defined,11,2.8768141969625172e-08,3.300619439983166e-08,5.008507741877111e-08,3.027880976250427e-17,1.4347340298719682e-10,7.683782570595748e-33,3.266246082489488e-07,0,0.0,2.431392260859866e-07,0.0,-119.99999968748243,0.05948545900173485,2.397345164135431e-10,2.326555235872735e-09,2.6370800950322364e-10,2.6370799766084474e-10,2.750516199985972e-10,2.6367796834847467e-17,6.071532165918825e-17,0.0,,,,,,,,
collective_growth,Full,defined,11,2.2564703187706043e-06,1.4351943290099218e-07,9.88771419727641e-06,3.364312195833808e-17,1.5128350928619217e-07,1.8132855886561017e-14,,0,0.0,0.00029536478665903587,0.0,-0.9999953155353367,0.05463670799508691,1.880391932308837e-08,3.6688158277324114e-08,3.5268228446325463e-09,3.460019886405677e-09,1.1959952741749348e-09,3.122502256758253e-17,5.551115123125783e-17,,,,,,,,,
collective_growth,RelativeWidth,defined,11,1.9386938405079257e-06,1.0651241488801588e-07,7.678645032764091e-06,0.15165902521131108,1.2800469548065e-07,1.4082711871098065e-14,,0,0.0,0.00028915873534884895,0.0,-0.9999953155353367,0.05280779197346419,1.6155782004232715e-08,3.321009703682875e-08,3.493261729264279e-09,1.9607707911638452e-09,8.876034574001324e-10,0.1514193103999413,0.15141931039994133,,,,,,,,,
collective_growth,OldTime,defined,11,0.02555705718081009,0.011236942827591653,0.011243430126402032,3.364312195833808e-17,0.0017738461919587117,4.171634758843799e-09,,0,0.0,0.0003780564956414878,0.0,-0.9474182833060709,0.05257891700603068,0.00021297547650675076,0.0003752195565087864,0.0002342621694569659,3.6946187819830965e-05,9.364119022993045e-05,3.122502256758253e-17,5.551115123125783e-17,,,,,,,,,
collective_growth,NoTime,defined,11,2.6620739213001343e-06,1.5829051373354255e-07,9.584423280747008e-06,3.364312195833808e-17,1.7873086083064144e-07,2.5022146040578322e-14,,0,0.0,0.0003536295361783459,0.0,-0.9999945307097278,0.058880291995592415,2.2183949344167786e-08,4.2826304517499617e-08,3.847698237062029e-09,2.2273318300847224e-09,1.319087614446188e-09,3.122502256758253e-17,5.551115123125783e-17,,,,,,,,,
collective_growth,NoReferencePenalty,defined,11,0.0007557348743961644,0.00022020258132720015,0.0007941828475747315,3.364312195833808e-17,2.804946702247652e-06,4.396367146531657e-12,,0,0.0,0.004196524852936534,0.0,-0.9986805608789311,0.06056858296506107,6.297790619968037e-06,1.0839281415293555e-05,6.92204456918767e-06,6.9220445691876705e-06,1.8350215110600013e-06,3.122502256758253e-17,5.551115123125783e-17,,,,,,,,,
collective_growth,ReferenceOnly,defined,11,2.2159244136591125e-12,2.8112623340348362e-12,2.4632148173016805e-13,3.364312195833808e-17,2.2185488504387087e-13,2.926521001160081e-26,,0,0.0,1.340083599643549e-11,0.0,-0.9999999999868194,0.05353525001555681,1.8466036780492605e-14,6.747787513935074e-14,1.9750127459398453e-14,4.243519116345043e-17,2.342718611695697e-14,3.122502256758253e-17,5.551115123125783e-17,,,,,,,,,
collective_growth,LegacyObjective,defined,11,3.306497156473118e-05,8.914416246241786e-06,9.69001812676377e-05,3.364312195833808e-17,1.729676618908558e-07,2.6198675846161108e-14,,0,0.0,0.0004826130085362479,0.0,-0.9999196274659425,0.06161691702436656,2.7554142970609316e-07,6.073356121542398e-07,3.267794444974628e-07,2.9555990010187037e-07,7.428680205201488e-08,3.122502256758253e-17,5.551115123125783e-17,,,,,,,,,
collective_growth,TightBudget,defined,11,0.0,0.0,5.5659180967874514e-15,3.364312195833808e-17,0.0,0.0,,0,0.0,1.0658141036401503e-14,0.0,0.0,0.03725525003392249,0.0,0.0,0.0,0.0,0.0,3.122502256758253e-17,5.551115123125783e-17,,,,,,,,,
collective_growth,LooseBudget,defined,11,3.520824805036682e-07,3.1827681231296384e-07,4.932637855858956e-06,3.364312195833808e-17,1.580322952286393e-08,1.8690647394477243e-16,,0,0.0,2.4368537914654098e-05,0.0,-119.999998165931,0.16630512499250472,2.9340206708639017e-09,1.1014896254361398e-08,2.9474540724155278e-09,2.5527467557079967e-09,2.652306769274699e-09,3.122502256758253e-17,5.551115123125783e-17,,,,,,,,,
translation_growth,Full,defined,11,2.256659953045218e-06,1.4350251250997796e-07,9.88769723484495e-06,3.364312195833808e-17,1.5132549380511948e-07,1.8140574576784218e-14,,0,0.0,0.00029536478668035215,0.0,-0.9999953155353367,0.051358666038140655,1.8805499608710148e-08,3.668825245976374e-08,3.526389232967454e-09,3.4595862668456648e-09,1.195854270916483e-09,3.122502256758253e-17,3.608224830031759e-17,,,,,,,,,
