scene,t,feature,q_x,q_y,area,x,y,width_x,width_y
advection_diffusion_seed1,5,1,39.857041587901705,79.91611531190927,1859.765625,40.857041587901705,49.7187289272306,22.3171875,22.3171875
advection_diffusion_seed1,5,2,79.66770633397313,32.23488483685221,1831.640625,78.66770633397313,61.2929476772306,21.9796875,21.9796875
advection_diffusion_seed1,5,3,95.45994718309859,81.5625,1996.875,96.45994718309859,90.53798239716895,23.962500000000002,23.962500000000002
advection_diffusion_seed1,6,0,27.83625730994152,30.67982456140351,1803.515625,26.83625730994152,36.30330802423624,21.642187500000002,21.642187500000002
advection_diffusion_seed1,6,1,40.175521821631875,80.06641366223909,1852.734375,41.175521821631875,74.36633409418342,22.2328125,22.2328125
advection_diffusion_seed1,6,2,79.98922413793103,32.51077586206897,1835.15625,78.98922413793103,24.88729239923624,22.021875,22.021875
advection_diffusion_seed1,6,3,95.77354753521126,81.796875,1996.875,96.77354753521126,89.42035846283272,23.962500000000002,23.962500000000002
advection_diffusion_seed1,7,0,28.157958984375,30.714111328125,1800.0,27.157958984375,36.33360103138706,21.6,21.6
advection_diffusion_seed1,7,1,40.559398854961835,80.1526717557252,1842.1875,41.559398854961835,76.32021649745286,22.10625,22.10625
advection_diffusion_seed1,7,2,80.41666666666667,32.64254385964912,1803.515625,79.41666666666667,25.02305415638706,21.642187500000002,21.642187500000002
advection_diffusion_seed1,7,3,96.21639784946237,81.85147849462365,1961.71875,97.21639784946237,89.47096819788571,23.540625000000002,23.540625000000002
advection_diffusion_seed1,8,0,28.347519455252918,30.85359922178988,1807.03125,27.347519455252918,36.514690235894946,21.684375,21.684375
advection_diffusion_seed1,8,1,41.020114942528735,80.21551724137932,1835.15625,42.020114942528735,76.54633528664904,22.021875,22.021875
advection_diffusion_seed1,8,2,80.81395348837209,32.8125,1814.0625,79.81395348837209,25.151408985894943,21.76875,21.76875
advection_diffusion_seed1,8,3,96.66554054054055,81.99662162162163,1951.171875,97.66554054054055,89.65771263572668,23.4140625,23.4140625
advection_diffusion_seed1,9,0,28.795166015625,30.85693359375,1800.0,27.795166015625,23.26809737883121,21.6,21.6
advection_diffusion_seed1,9,1,41.31877413127413,80.3426640926641,1821.09375,42.31877413127413,50.317080228421254,21.853125000000002,21.853125000000002
advection_diffusion_seed1,9,2,81.10009671179884,32.87234042553192,1817.578125,80.10009671179884,61.733095853421254,21.8109375,21.8109375
advection_diffusion_seed1,9,3,96.99141048824593,82.09312839059675,1944.140625,97.99141048824593,91.06811565729477,23.329687500000002,23.329687500000002
advection_diffusion_seed1,10,0,29.43093385214008,31.028696498054476,1807.03125,28.43093385214008,22.54549527661195,21.684375,21.684375
advection_diffusion_seed1,10,1,41.9683908045977,80.44899425287356,1835.15625,42.9683908045977,50.83655265387788,22.021875,22.021875
advection_diffusion_seed1,10,2,81.69331395348837,33.13226744186046,1814.0625,80.69331395348837,62.28420890387788,21.76875,21.76875
advection_diffusion_seed1,10,3,97.25751366120218,82.28142076502732,1930.078125,98.25751366120218,91.24971152539898,23.1609375,23.1609375
advection_diffusion_seed1,11,0,29.814320388349515,31.15776699029126,1810.546875,28.814320388349515,36.81288686941606,21.7265625,21.7265625
advection_diffusion_seed1,11,1,42.27764423076923,80.625,1828.125,43.27764423076923,75.02771477952965,21.9375,21.9375
advection_diffusion_seed1,11,2,82.01848249027238,33.115272373540854,1807.03125,81.01848249027238,25.46015249441606,21.684375,21.684375
advection_diffusion_seed1,11,3,97.4077868852459,82.39071038251366,1930.078125,98.4077868852459,90.04583026163846,23.1609375,23.1609375
advection_diffusion_seed1,12,0,30.10578793774319,31.309581712062258,1807.03125,29.10578793774319,36.89108941180802,21.684375,21.684375
advection_diffusion_seed1,12,1,42.59134615384615,80.73677884615384,1828.125,43.59134615384615,76.95273772739799,21.9375,21.9375
advection_diffusion_seed1,12,2,82.51120517928287,33.256972111553786,1764.84375,81.51120517928287,25.67546441180802,21.178125,21.178125
advection_diffusion_seed1,12,3,97.9289667896679,82.45502767527675,1905.46875,98.9289667896679,90.03653537502252,22.865625,22.865625
advection_diffusion_seed1,13,0,30.55381274131274,31.440637065637066,1821.09375,29.55381274131274,37.0952444221466,21.853125000000002,21.853125000000002
advection_diffusion_seed1,13,1,43.01724137931034,80.91235632183908,1835.15625,44.01724137931034,77.27335634711626,22.021875,22.021875
advection_diffusion_seed1,13,2,82.70750988142292,33.449851778656125,1778.90625,81.70750988142292,25.7952444221466,21.346875,21.346875
advection_diffusion_seed1,13,3,98.24448529411765,82.66199448529412,1912.5,99.24448529411765,90.31660184180365,22.95,22.95
advection_diffusion_seed1,14,0,30.953883495145632,31.75121359223301,1810.546875,29.953883495145632,37.35397072208738,21.7265625,21.7265625
advection_diffusion_seed1,14,1,43.4835086042065,81.08030592734225,1838.671875,44.4835086042065,77.46372922656748,22.064062500000002,22.064062500000002
advection_diffusion_seed1,14,2,83.27912621359224,33.59344660194175,1810.546875,82.27912621359224,25.99068947208738,21.7265625,21.7265625
advection_diffusion_seed1,14,3,98.49696828358209,82.69589552238806,1884.375,99.49696828358209,90.29865265224242,22.6125,22.6125
advection_diffusion_seed1,15,0,31.281553398058254,31.725728155339805,1810.546875,30.281553398058254,37.39599196555901,21.7265625,21.7265625
advection_diffusion_seed1,15,1,43.790553435114504,81.00787213740458,1842.1875,44.790553435114504,77.41296390400494,22.10625,22.10625
advection_diffusion_seed1,15,2,83.51045719844358,33.71352140077821,1807.03125,82.51045719844358,26.043257590559012,21.684375,21.684375
advection_diffusion_seed1,15,3,98.68145910780669,82.63592007434944,1891.40625,99.68145910780669,90.30618388456864,22.696875000000002,22.696875000000002
advection_diffusion_seed1,16,0,31.77573529411765,31.77573529411765,1792.96875,30.77573529411765,37.3301344323311,21.515625,21.515625
advection_diffusion_seed1,16,1,44.234913793103445,81.05962643678161,1835.15625,45.234913793103445,77.4823517733582,22.021875,22.021875
advection_diffusion_seed1,16,2,83.94059405940594,33.679455445544555,1775.390625,82.94059405940594,26.125056307331104,21.3046875,21.3046875
advection_diffusion_seed1,16,3,99.08898305084746,82.94844632768361,1866.796875,100.08898305084746,90.50284546589707,22.4015625,22.4015625
advection_diffusion_seed1,17,0,32.14390962671906,31.8897347740668,1789.453125,31.143909626719058,37.40052244715365,21.4734375,21.4734375
advection_diffusion_seed1,17,1,44.76017441860465,81.39171511627907,1814.0625,45.76017441860465,77.81313615650768,21.76875,21.76875
advection_diffusion_seed1,17,2,84.34493987975952,33.78006012024048,1754.296875,83.34493987975952,26.269272447153643,21.0515625,21.0515625
advection_diffusion_seed1,17,3,99.35724431818181,83.1356534090909,1856.25,100.35724431818181,90.64644108217774,22.275000000000002,22.275000000000002
advection_diffusion_seed1,18,0,32.592455621301774,31.97855029585799,1782.421875,31.592455621301774,37.51686352392303,21.3890625,21.3890625
advection_diffusion_seed1,18,1,44.974365234375,81.470947265625,1800.0,45.974365234375,77.9153700558121,21.6,21.6
advection_diffusion_seed1,18,2,84.75149105367794,33.90283300198807,1768.359375,83.75149105367794,26.364519773923032,21.220312500000002,21.220312500000002
advection_diffusion_seed1,18,3,99.50406309751435,83.25286806883365,1838.671875,100.50406309751435,90.79118129689869,22.064062500000002,22.064062500000002
advection_diffusion_seed1,19,0,32.9889705882353,32.033088235294116,1792.96875,31.988970588235297,37.613786427456255,21.515625,21.515625
advection_diffusion_seed1,19,1,45.33455882352941,81.54411764705883,1792.96875,46.33455882352941,78.00639265800575,21.515625,21.515625
advection_diffusion_seed1,19,2,85.14554794520548,33.9261252446184,1796.484375,84.14554794520548,26.34542705245626,21.5578125,21.5578125
advection_diffusion_seed1,19,3,99.72747093023256,83.28851744186046,1814.0625,100.72747093023256,90.8692156340226,21.76875,21.76875
advection_diffusion_seed1,20,0,33.41317365269461,32.166916167664674,1761.328125,32.41317365269461,37.655212176094246,21.1359375,21.1359375
advection_diffusion_seed1,20,1,45.78712871287129,81.5569306930693,1775.390625,46.78712871287129,78.01747923110845,21.3046875,21.3046875
advection_diffusion_seed1,20,2,85.56919642857143,34.04389880952381,1771.875,84.56919642857143,26.555602801094246,21.2625,21.2625
advection_diffusion_seed1,20,3,100.28676470588235,83.4375,1792.96875,101.28676470588235,90.92579600842956,21.515625,21.515625
advection_diffusion_seed2,0,0,24.761029411764707,28.23923319327731,1673.4375,19.08552646731446,34.684607134293934,20.08125,20.08125
advection_diffusion_seed2,0,1,39.44551282051282,77.125,2056.640625,40.819420782380334,74.14099958461001,24.6796875,24.6796875
advection_diffusion_seed2,0,2,78.2919254658385,32.515527950310556,1698.046875,91.49602466127291,24.070154009293933,20.376562500000002,20.376562500000002
advection_diffusion_seed2,0,3,91.91692073170732,80.33536585365853,1729.6875,80.71282153627291,88.78073979467516,20.75625,20.75625
advection_diffusion_seed2,1,0,25.172275641025642,28.381410256410255,1645.3125,19.479262497797485,34.66743412410677,19.743750000000002,19.743750000000002
advection_diffusion_seed2,1,1,39.70474137931034,77.36961206896552,2039.0625,41.07335241729147,74.3501255173022,24.46875,24.46875
advection_diffusion_seed2,1,2,78.70389344262296,32.37064549180328,1715.625,91.81887807377049,24.084621624106767,20.587500000000002,20.587500000000002
advection_diffusion_seed2,1,3,92.14011270491804,80.3983094262295,1715.625,81.02512807377049,88.68433329392602,20.587500000000002,20.587500000000002
advection_diffusion_seed2,2,0,25.52061310782241,28.549154334038054,1662.890625,19.86166595946427,34.91983523566657,19.954687500000002,19.954687500000002
advection_diffusion_seed2,2,1,40.16243545611015,77.35907917383821,2042.578125,41.53142965661953,74.35839662065403,24.5109375,24.5109375
advection_diffusion_seed2,2,2,79.16111680327869,32.65496926229508,1715.625,92.24949879029481,24.28428836066657,20.587500000000002,20.587500000000002
advection_diffusion_seed2,2,3,92.67069327731092,80.4516806722689,1673.4375,81.58231129029481,88.82236157389742,20.08125,20.08125
advection_diffusion_seed2,3,0,25.912341101694917,28.704978813559322,1659.375,20.274034086460095,35.090029110963435,19.9125,19.9125
advection_diffusion_seed2,3,1,40.73478260869565,77.52065217391305,2021.484375,42.089818384603475,74.52266488918936,24.2578125,24.2578125
advection_diffusion_seed2,3,2,79.59317248459959,32.86062628336756,1712.109375,92.743730555188,24.475575985963438,20.5453125,20.5453125
advection_diffusion_seed2,3,3,93.1638198757764,80.56288819875776,1698.046875,82.013261805188,88.94793849616188,20.376562500000002,20.376562500000002
advection_diffusion_seed2,4,0,26.312893081761008,28.77358490566038,1676.953125,20.66064613906661,35.23865679942109,20.1234375,20.1234375
advection_diffusion_seed2,4,1,41.204896907216494,77.74806701030928,2046.09375,42.5646827099958,74.7445363189479,24.553125,24.553125
advection_diffusion_seed2,4,2,79.96255165289256,33.06818181818182,1701.5625,93.15363168822759,24.603109924421098,20.41875,20.41875
advection_diffusion_seed2,4,3,93.60369609856262,80.69430184804928,1712.109375,82.41261606322759,89.15937374181,20.5453125,20.5453125
advection_diffusion_seed2,5,0,26.82236842105263,28.95394736842105,1669.921875,21.15254212258853,35.33745005220845,20.0390625,20.0390625
advection_diffusion_seed2,5,1,41.370025951557096,77.87737889273356,2032.03125,42.74963209852189,74.84920367260314,24.384375000000002,24.384375000000002
advection_diffusion_seed2,5,2,80.25933609958506,33.12759336099585,1694.53125,93.40723501407824,24.74409067720845,20.334375,20.334375
advection_diffusion_seed2,5,3,93.80357142857143,80.7359693877551,1722.65625,82.65567251407823,89.1194720715425,20.671875,20.671875
advection_diffusion_seed2,6,0,27.14453125,28.93359375,1687.5,21.44252364530406,35.42550942332474,20.25,20.25
advection_diffusion_seed2,6,1,41.65985370051635,78.03356282271945,2042.578125,43.06155994566445,75.01935143261574,24.5109375,24.5109375
advection_diffusion_seed2,6,2,80.7332474226804,33.23969072164948,1705.078125,93.83603139628917,24.74777504832474,20.4609375,20.4609375
advection_diffusion_seed2,6,3,94.15561224489795,80.90433673469387,1722.65625,83.05282827128917,89.39625240801861,20.671875,20.671875
advection_diffusion_seed2,7,0,27.549582463465555,29.11143006263048,1683.984375,21.857330786157885,35.523247488256786,20.2078125,20.2078125
advection_diffusion_seed2,7,1,42.32049036777583,78.26401050788091,2007.421875,43.68795654096001,75.25590235487049,24.0890625,24.0890625
advection_diffusion_seed2,7,2,81.12995824634656,33.33115866388309,1683.984375,94.15898873109253,24.919341238256788,20.2078125,20.2078125
advection_diffusion_seed2,7,3,94.5419254658385,81.10636645962732,1698.046875,83.51289498109253,89.51818388525362,20.376562500000002,20.376562500000002
advection_diffusion_seed2,8,0,27.90047268907563,29.227941176470587,1673.4375,22.230538104206705,35.62217371323529,20.08125,20.08125
advection_diffusion_seed2,8,1,42.70942408376963,78.29188481675392,2014.453125,44.07332386952506,75.27529569975941,24.173437500000002,24.173437500000002
advection_diffusion_seed2,8,2,81.59375,33.43359375,1687.5,94.65038128573283,25.039361213235296,20.25,20.25
advection_diffusion_seed2,8,3,95.0714656964657,81.1239604989605,1691.015625,84.01483441073283,89.5181930357252,20.2921875,20.2921875
advection_diffusion_seed2,9,0,28.419811320754718,29.371069182389938,1676.953125,22.753426964086824,35.72032077540549,20.1234375,20.1234375
advection_diffusion_seed2,9,1,43.08545694200352,78.34138840070298,2000.390625,44.45149410175369,75.30467015568568,24.0046875,24.0046875
advection_diffusion_seed2,9,2,81.87631578947368,33.52894736842105,1669.921875,95.0163479989035,25.17969577540549,20.0390625,20.0390625
advection_diffusion_seed2,9,3,95.52083333333333,81.19212962962963,1708.59375,84.3808011239035,89.54138122264519,20.503125,20.503125
advection_diffusion_seed2,10,0,28.835526315789473,29.510526315789473,1669.921875,23.160791923448055,35.94276315789473,20.0390625,20.0390625
advection_diffusion_seed2,10,1,43.38476909413854,78.4702486678508,1979.296875,44.77185656954713,75.44808084759067,23.751562500000002,23.751562500000002
advection_diffusion_seed2,10,2,82.40721649484536,33.75,1705.078125,95.56601420807081,25.317763157894735,20.4609375,20.4609375
advection_diffusion_seed2,10,3,95.98379629629629,81.40046296296296,1708.59375,84.82499858307081,89.83269980506823,20.503125,20.503125
advection_diffusion_seed2,11,0,29.18238993710692,29.6501572327044,1676.953125,23.513281986658146,36.04945749833978,20.1234375,20.1234375
