scene,method,readout,position_2d_nrmse,position_2d_nmae,reference_x_nmae,reference_y_nmae,reference_x_p95,reference_y_p95,motion_2d_nmae,motion_magnitude_2d_nmae,trajectory_2d_nmae,direction_error_radians,direction_count,direction_zero_predictions,matched_steps,minimum_motion
diagonal,X-only RA-MTM,initial_y_oracle,0.028150937529165063,0.024820867629227694,0.008332555294694703,0.03325135624212025,0.008537325360222899,0.06485549368621567,0.002376010178159821,0.0007948975554701322,0.0246886550715523,0.5879710160346857,60,0,60,0.12
diagonal,Dual-Reference RA-MTM,dual_native,0.008334127489506439,0.008333379937570476,0.008332555294694703,0.008333535283907328,0.008537325360222899,0.00850762174396954,0.00016553445306826287,0.00010152348573140952,0.00017820202000428523,0.027764527591937198,60,0,60,0.12
same_x,TMTM,initial_y_oracle,0.05586782266159601,0.055867822661596,0.079009032508284,0.0,0.07900903250828405,0.0,0.0,0.0,0.0,,0,0,40,0.12
same_x,ST-MTM,initial_y_oracle,0.16164971929861627,0.16164967151156698,0.22860715780481378,0.0,0.22878293905481373,0.0,0.0,0.0,0.0,,0,0,40,0.12
same_x,X-only RA-MTM,initial_y_oracle,0.04883464541428718,0.04883464155172099,0.06906261239607252,0.0,0.06909008070814894,0.0,0.0,0.0,0.0,,0,0,40,0.12
same_x,Dual-Reference RA-MTM,dual_native,0.04883485635823912,0.04883485250379335,0.06906261239607252,0.0002027558659379351,0.06909008070814894,0.00021253544702493817,0.0,0.0,0.0,,0,0,40,0.12
same_y,TMTM,initial_y_oracle,0.10595460633637388,0.1059546063363739,0.14984244127680224,0.0,0.14984244127680227,0.0,0.0,0.0,0.0,,0,0,40,0.12
same_y,ST-MTM,initial_y_oracle,9.317737879713588e-05,6.942364826241889e-05,9.817986492213215e-05,0.0,0.0001860704899220818,0.0,0.0,0.0,0.0,,0,0,40,0.12
same_y,X-only RA-MTM,initial_y_oracle,0.00012329095054662158,0.00011934573542175285,0.00016878035764483396,0.0,0.00021253544702493817,0.0,0.0,0.0,0.0,,0,0,40,0.12
same_y,Dual-Reference RA-MTM,dual_native,0.04879076369996435,0.048790757451701285,0.00016878035764483396,0.0690003306626877,0.00021253544702493817,0.0690351440839961,0.0,0.0,0.0,,0,0,40,0.12
hierarchy_conflict,TMTM,initial_y_oracle,0.15361163916113835,0.12065017549980332,0.17062511449451598,0.0,0.3298119390700682,0.0,0.0,0.0,0.0,,0,0,80,0.12
hierarchy_conflict,ST-MTM,initial_y_oracle,0.2338042480261599,0.202133450568382,0.28585986720307743,0.0,0.48350844800259457,0.0,0.0,0.0,0.0,,0,0,80,0.12
hierarchy_conflict,X-only RA-MTM,initial_y_oracle,0.1228631037754228,0.11041887277219146,0.15615586741638243,0.0,0.23514504255129295,0.0,0.0,0.0,0.0,,0,0,80,0.12
hierarchy_conflict,Dual-Reference RA-MTM,dual_native,0.12948294854685993,0.11846930031106558,0.15615586741638243,0.047695970451941384,0.23514504255129295,0.09369294718016237,0.0,0.0,0.0,,0,0,80,0.12
motion_growth,TMTM,initial_y_oracle,0.09435204018189472,0.08803891829055524,0.12067508810889634,0.024729370217741083,0.17287132137509068,0.04844394896375155,0.002689209356784102,0.002194334971171829,0.026060972933566455,1.268494013482157,60,4,60,0.12
motion_growth,ST-MTM,initial_y_oracle,0.05555324956302394,0.05300690551529209,0.06876307150701662,0.024729370217741083,0.10867465459139007,0.04844394896375155,0.0031138929897011466,0.0025030032240466993,0.03149355492781044,2.0171250903881575,60,16,60,0.12
motion_growth,X-only RA-MTM,initial_y_oracle,0.021335906579782602,0.019048711258299315,0.008332118010358743,0.024729370217741083,0.008560436016627619,0.04844394896375155,0.0017976175265102113,0.0006815605807882617,0.01836159645693049,0.6368830982647931,60,0,60,0.12
motion_growth,Dual-Reference RA-MTM,dual_native,0.008319729295027096,0.008319051666142142,0.008332118010358743,0.008304872098745954,0.008560436016627619,0.008530742233990913,0.00017643420906615086,9.753283793274793e-05,0.00017531038369295165,0.04234655820520728,60,0,60,0.12
translation,TMTM,initial_y_oracle,0.09860213945081207,0.09199358728688911,0.13009680585016042,0.0004950826894510569,0.21905586202110275,0.0013047416961625064,0.003624640905187913,0.00284588380939921,0.036883391687509065,1.6405938580533024,60,5,60,0.12
translation,ST-MTM,initial_y_oracle,0.054031651404679006,0.04699839492469406,0.06646000599654855,0.0004950826894510569,0.12825466716054798,0.0013047416961625064,0.003619042001595345,0.003053922320041554,0.03704946652757353,1.8931300680344856,60,15,60,0.12
translation,X-only RA-MTM,initial_y_oracle,0.005915622640079254,0.005914498180887119,0.00833836950193314,0.0004950826894510569,0.008539349244153342,0.0013047416961625064,0.0005881964124574404,0.00016317073005062255,0.0004109340073525304,0.1688761561503084,60,0,60,0.12
translation,Dual-Reference RA-MTM,dual_native,0.008351087225226352,0.008350441797910385,0.00833836950193314,0.00836149607910335,0.008539349244153342,0.008556857376342483,0.00016229516201540976,0.0001152936972072321,0.00018399357619150407,0.026973347868388665,60,0,60,0.12
growth,TMTM,initial_y_oracle,0.0984295989393031,0.0876330969665592,0.12195956793262086,0.017942571610431817,0.20278867465218495,0.044443143040948686,0.0017703874593173572,0.001152589391115138,0.01579654665067916,0.9575801449690036,53,2,60,0.12
growth,ST-MTM,initial_y_oracle,0.04317539944279965,0.040174815998486414,0.05289899793143466,0.017942571610431817,0.08839819728442809,0.044443143040948686,0.0015260504213583347,0.0005829213142168969,0.014260820957967704,1.0547765420965622,53,7,60,0.12
growth,X-only RA-MTM,initial_y_oracle,0.016913215067886084,0.014689388066804676,0.008326945341510574,0.017942571610431817,0.008556624209894009,0.044443143040948686,0.0013214386018538457,0.0005801899874450841,0.013323323100481094,0.8589114141727587,53,4,60,0.12
