scene,t,axis,tau,budget,achieved,global_gap
same_x,5,x,7.277213162357725,8.277213162357725,8.277213162357725,0.0
same_x,6,x,7.277213162357725,8.277213162357725,8.277213162357725,0.0
same_x,7,x,7.277213162357725,8.277213162357725,8.277213162357725,0.0
same_x,8,x,7.277213162357725,8.277213162357725,8.277213162357725,0.0
same_x,9,x,7.277213162357725,8.277213162357725,8.277213162357725,0.0
same_x,10,x,7.277213162357725,8.277213162357725,8.277213162357725,0.0
same_x,11,x,7.277213162357725,8.277213162357725,8.277213162357725,0.0
same_x,12,x,7.277213162357725,8.277213162357725,8.277213162357725,0.0
same_x,13,x,7.277213162357725,8.277213162357725,8.277213162357725,0.0
same_x,14,x,7.277213162357725,8.277213162357725,8.277213162357725,0.0
same_x,15,x,7.277213162357725,8.277213162357725,8.277213162357725,0.0
same_x,16,x,7.277213162357725,8.277213162357725,8.277213162357725,0.0
same_x,17,x,7.277213162357725,8.277213162357725,8.277213162357725,0.0
same_x,18,x,7.277213162357725,8.277213162357725,8.277213162357725,0.0
same_x,19,x,7.277213162357725,8.277213162357725,8.277213162357725,0.0
same_x,20,x,7.277213162357725,8.277213162357725,8.277213162357725,0.0
same_x,0,y,0.0,1.0,5.197438284199052e-07,0.0
same_x,1,y,0.0,1.0,5.197438355253325e-07,7.498060869311459e-14
same_x,2,y,0.0,1.0,5.197438355253325e-07,6.892489913650066e-14
same_x,3,y,0.0,1.0,5.197438355253325e-07,6.892489913650066e-14
same_x,4,y,0.0,1.0,5.197438355253325e-07,6.892489913650066e-14
same_x,5,y,0.0,1.0,5.197438355253325e-07,6.892489913650066e-14
same_x,6,y,0.0,1.0,5.197438355253325e-07,6.892489913650066e-14
same_x,7,y,0.0,1.0,5.197438355253325e-07,6.892489913650066e-14
same_x,8,y,0.0,1.0,5.197438355253325e-07,6.892489913650066e-14
same_x,9,y,0.0,1.0,5.197438355253325e-07,6.892489913650066e-14
same_x,10,y,0.0,1.0,5.197438355253325e-07,6.892489913650066e-14
same_x,11,y,0.0,1.0,5.197438355253325e-07,6.892489913650066e-14
same_x,12,y,0.0,1.0,5.197438355253325e-07,6.892489913650066e-14
same_x,13,y,0.0,1.0,5.197438355253325e-07,6.892489913650066e-14
same_x,14,y,0.0,1.0,5.197438355253325e-07,6.892489913650066e-14
same_x,15,y,0.0,1.0,5.197438355253325e-07,6.892489913650066e-14
same_x,16,y,0.0,1.0,5.197438355253325e-07,6.892489913650066e-14
same_x,17,y,0.0,1.0,5.197438355253325e-07,6.892489913650066e-14
same_x,18,y,0.0,1.0,5.197438355253325e-07,6.892489913650066e-14
same_x,19,y,0.0,1.0,5.197438355253325e-07,6.892489913650066e-14
same_x,20,y,0.0,1.0,5.197438355253325e-07,6.892489913650066e-14
same_y,0,x,0.0,1.0,2.0559504463335543e-06,8.103643521329695e-14
same_y,1,x,0.0,1.0,2.0559504356754132e-06,5.861965518085251e-14
same_y,2,x,0.0,1.0,2.0559504356754132e-06,0.0
same_y,3,x,0.0,1.0,2.0559504356754132e-06,0.0
same_y,4,x,0.0,1.0,2.0559504356754132e-06,0.0
same_y,5,x,0.0,1.0,2.0559504356754132e-06,0.0
same_y,6,x,0.0,1.0,2.0559504356754132e-06,0.0
same_y,7,x,0.0,1.0,2.0559504356754132e-06,0.0
same_y,8,x,0.0,1.0,2.0559504356754132e-06,0.0
same_y,9,x,0.0,1.0,2.0559504356754132e-06,0.0
same_y,10,x,0.0,1.0,2.0559504356754132e-06,0.0
same_y,11,x,0.0,1.0,2.0559504356754132e-06,0.0
same_y,12,x,0.0,1.0,2.0559504356754132e-06,0.0
same_y,13,x,0.0,1.0,2.0559504356754132e-06,0.0
same_y,14,x,0.0,1.0,2.0559504356754132e-06,0.0
same_y,15,x,0.0,1.0,2.0559504356754132e-06,0.0
same_y,16,x,0.0,1.0,2.0559504356754132e-06,0.0
same_y,17,x,0.0,1.0,2.0559504356754132e-06,0.0
same_y,18,x,0.0,1.0,2.0559504356754132e-06,0.0
same_y,19,x,0.0,1.0,2.0559504356754132e-06,0.0
same_y,20,x,0.0,1.0,2.0559504356754132e-06,0.0
same_y,0,y,7.264465916851535,8.264465916851535,8.264465916851535,0.0
same_y,1,y,7.264465916851535,8.264465916851535,8.264465916851535,0.0
same_y,2,y,7.264465916851535,8.264465916851535,8.264465916851535,0.0
same_y,3,y,7.264465916851535,8.264465916851535,8.264465916851535,0.0
same_y,4,y,7.264465916851535,8.264465916851535,8.264465916851535,0.0
same_y,5,y,7.264465916851535,8.264465916851535,8.264465916851535,0.0
same_y,6,y,7.264465916851535,8.264465916851535,8.264465916851535,0.0
same_y,7,y,7.264465916851535,8.264465916851535,8.264465916851535,0.0
same_y,8,y,7.264465916851535,8.264465916851535,8.264465916851535,0.0
same_y,9,y,7.264465916851535,8.264465916851535,8.264465916851535,0.0
same_y,10,y,7.264465916851535,8.264465916851535,8.264465916851535,0.0
same_y,11,y,7.264465916851535,8.264465916851535,8.264465916851535,0.0
same_y,12,y,7.264465916851535,8.264465916851535,8.264465916851535,0.0
same_y,13,y,7.264465916851535,8.264465916851535,8.264465916851535,0.0
same_y,14,y,7.264465916851535,8.264465916851535,8.264465916851535,0.0
same_y,15,y,7.264465916851535,8.264465916851535,8.264465916851535,0.0
same_y,16,y,7.264465916851535,8.264465916851535,8.264465916851535,0.0
same_y,17,y,7.264465916851535,8.264465916851535,8.264465916851535,0.0
same_y,18,y,7.264465916851535,8.264465916851535,8.264465916851535,0.0
same_y,19,y,7.264465916851535,8.264465916851535,8.264465916851535,0.0
same_y,20,y,7.264465916851535,8.264465916851535,8.264465916851535,0.0
hierarchy_conflict,0,x,27.222079097730646,28.222079097730646,28.222079097730642,1.4262971490097698e-05
hierarchy_conflict,1,x,27.222079097730646,28.222079097730646,28.222079097730642,1.029017175824265e-05
hierarchy_conflict,2,x,27.222079097730646,28.222079097730646,28.222079097730642,1.0290169029758545e-05
hierarchy_conflict,3,x,27.222079097730646,28.222079097730646,28.222079097730642,1.0290169029758545e-05
hierarchy_conflict,4,x,27.222079097730646,28.222079097730646,28.222079097730642,1.0290168575011194e-05
hierarchy_conflict,5,x,27.222079097730646,28.222079097730646,28.222079097730642,1.0290168575011194e-05
hierarchy_conflict,6,x,27.222079097730646,28.222079097730646,28.222079097730642,1.0290168575011194e-05
hierarchy_conflict,7,x,27.222079097730646,28.222079097730646,28.222079097730642,1.0290169029758545e-05
hierarchy_conflict,8,x,27.222079097730646,28.222079097730646,28.222079097730642,1.0290169029758545e-05
hierarchy_conflict,9,x,27.222079097730646,28.222079097730646,28.222079097730642,1.0290169029758545e-05
hierarchy_conflict,10,x,27.222079097730646,28.222079097730646,28.222079097730642,1.0290169029758545e-05
hierarchy_conflict,11,x,27.222079097730646,28.222079097730646,28.222079097730642,1.0290169029758545e-05
hierarchy_conflict,12,x,27.222079097730646,28.222079097730646,28.222079097730642,1.0290169029758545e-05
hierarchy_conflict,13,x,27.222079097730646,28.222079097730646,28.222079097730642,1.0290169029758545e-05
hierarchy_conflict,14,x,27.222079097730646,28.222079097730646,28.222079097730642,1.0290169029758545e-05
hierarchy_conflict,15,x,27.222079097730646,28.222079097730646,28.222079097730642,1.0290169029758545e-05
hierarchy_conflict,16,x,27.222079097730646,28.222079097730646,28.222079097730642,1.0290169029758545e-05
hierarchy_conflict,17,x,27.222079097730646,28.222079097730646,28.222079097730642,1.0290169029758545e-05
hierarchy_conflict,18,x,27.222079097730646,28.222079097730646,28.222079097730642,1.0290169029758545e-05
hierarchy_conflict,19,x,27.222079097730646,28.222079097730646,28.222079097730642,1.0290169029758545e-05
hierarchy_conflict,20,x,27.222079097730646,28.222079097730646,28.222079097730642,1.0290169029758545e-05
hierarchy_conflict,0,y,11.247022318495407,12.247022318495407,11.2470223184954,0.0
hierarchy_conflict,1,y,11.247022318495407,12.247022318495407,11.247022318495407,1.1368683772161603e-13
hierarchy_conflict,2,y,11.247022318495407,12.247022318495407,11.247022318495407,1.1368683772161603e-13
