scene,group,method,readout,position_2d_nrmse,position_2d_nmae,reference_x_nmae,reference_y_nmae,reference_x_p95,reference_y_p95,motion_2d_nmae,motion_magnitude_2d_nmae,trajectory_2d_nmae,direction_error_radians,direction_count,direction_zero_predictions,matched_steps,minimum_motion,distance_x_nrmse,distance_y_nrmse,growth_log_mae,tau_x,tau_y
translation,canonical,ST-MTM,first_frame_2d_affine,0.05370565647454659,0.047958861086845606,0.05275830136798829,0.03843104663976648,0.12174489077988773,0.05832648685536315,0.0036251604548324357,0.003111909017129538,0.03711436224148655,1.5874267347218158,60,0,60,0.12,0.03635737208780322,,0.0228224941613621,,
translation,canonical,X-only RA-MTM,initial_y_oracle,0.0059111427846538145,0.005911052864689201,0.008333333333333333,0.0004950826894510569,0.008333333333333333,0.0013047416961625064,0.0005543927998077337,8.798350721038962e-05,0.0003675801433068619,0.1688761561503084,60,0,60,0.12,0.19751903114922267,,3.5908775952719906e-17,0.0,
translation,canonical,X-only RA-MTM,first_frame_2d_affine,0.046882578653806115,0.03415896741086635,0.003720618462582668,0.04813566860824816,0.009376098416740947,0.1299897995290555,0.0022403265755213714,0.0004631225086833003,0.023096063934717394,0.5893643552412081,60,0,60,0.12,0.19751903114922267,,3.5908775952719906e-17,0.0,
translation,canonical,Dual-Reference RA-MTM,dual_native,0.008333333333333333,0.008333333333333331,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,0.0,60,0,60,0.12,0.19751903114922267,0.4543047257661308,3.5908775952719906e-17,0.0,0.0
growth,canonical,TMTM,initial_y_oracle,0.0984295989393031,0.0876330969665592,0.12195956793262086,0.017942571610431817,0.20278867465218495,0.044443143040948686,0.0017703874593173572,0.001152589391115138,0.01579654665067916,0.9575801449690036,53,2,60,0.12,0.7335852611074437,,4.533410683886056e-17,,
growth,canonical,TMTM,first_frame_2d_affine,0.05296461442049677,0.04998934108345423,0.05207206806593869,0.04081084052625044,0.1173856552799021,0.06463338774744984,0.003532018738733609,0.002991387645822781,0.026210635692085114,0.6684556229752469,53,2,60,0.12,0.7335852611074437,,4.533410683886056e-17,,
growth,canonical,ST-MTM,initial_y_oracle,0.04318985217529538,0.04018107327375518,0.05290794586122283,0.017942571610431817,0.088438598875746,0.044443143040948686,0.0015190387058897999,0.0005449488699030541,0.014316101403015265,0.8221430055650402,53,0,60,0.12,0.036215324901220224,,0.32476069720008643,,
growth,canonical,ST-MTM,first_frame_2d_affine,0.03961235631798724,0.037366611404502245,0.028905972529625033,0.044224712656608545,0.045569565119256965,0.07266107231548566,0.0008419572277252994,0.0005547161141986692,0.005453734246296003,0.465721742353976,53,0,60,0.12,0.036215324901220224,,0.32476069720008643,,
growth,canonical,X-only RA-MTM,initial_y_oracle,0.016914495036813575,0.01469066643884803,0.008333333333333333,0.017942571610431817,0.008333333333333333,0.044443143040948686,0.001303375810656944,0.0005692686241767224,0.013321679760544646,0.7299106303913248,53,0,60,0.12,0.2033444413484118,,5.689893001203927e-17,0.0,
growth,canonical,X-only RA-MTM,first_frame_2d_affine,0.045538088728066244,0.042732913683199106,0.004350517231629026,0.06026100971569207,0.006584593805729775,0.09802868096934494,0.000750224573216557,0.00041890325834300995,0.006406270583211951,0.44546379205304365,53,0,60,0.12,0.2033444413484118,,5.689893001203927e-17,0.0,
growth,canonical,Dual-Reference RA-MTM,dual_native,0.008421076310256343,0.008418801000577491,0.008333333333333333,0.00849949657505824,0.008333333333333333,0.009404522104819376,0.00010033160412622039,6.050140837941143e-05,0.00012336991275800057,0.030676543490501,53,0,60,0.12,0.2033444413484118,0.4566194985143673,5.689893001203927e-17,0.0,0.17201404492234929
translation_growth,canonical,TMTM,initial_y_oracle,0.10477965337448805,0.09883830277024853,0.1382788550822526,0.01791876667413078,0.22248819306319503,0.04480706935975606,0.0035171017164744244,0.002786778731977759,0.03609021998730462,1.2262575874839106,56,1,60,0.12,0.7308480328544892,,5.967448757360216e-17,,
translation_growth,canonical,TMTM,first_frame_2d_affine,0.060461553270713196,0.05280303139212692,0.05934835125617466,0.04177950734119407,0.13956243191108766,0.06625631552709853,0.0049353411631329735,0.003212173682108585,0.037971886846116416,1.0968212004253963,56,1,60,0.12,0.7308480328544892,,5.967448757360216e-17,,
