scene,method,t,topology,hierarchy
motion_growth,X-only RA-MTM,13,True,True
motion_growth,X-only RA-MTM,14,True,True
motion_growth,X-only RA-MTM,15,True,True
motion_growth,X-only RA-MTM,16,True,True
motion_growth,X-only RA-MTM,17,True,True
motion_growth,X-only RA-MTM,18,True,True
motion_growth,X-only RA-MTM,19,True,True
motion_growth,X-only RA-MTM,20,True,True
motion_growth,Dual-X,0,True,True
motion_growth,Dual-X,1,True,True
motion_growth,Dual-X,2,True,True
motion_growth,Dual-X,3,True,True
motion_growth,Dual-X,4,True,True
motion_growth,Dual-X,5,True,True
motion_growth,Dual-X,6,True,True
motion_growth,Dual-X,7,True,True
motion_growth,Dual-X,8,True,True
motion_growth,Dual-X,9,True,True
motion_growth,Dual-X,10,True,True
motion_growth,Dual-X,11,True,True
motion_growth,Dual-X,12,True,True
motion_growth,Dual-X,13,True,True
motion_growth,Dual-X,14,True,True
motion_growth,Dual-X,15,True,True
motion_growth,Dual-X,16,True,True
motion_growth,Dual-X,17,True,True
motion_growth,Dual-X,18,True,True
motion_growth,Dual-X,19,True,True
motion_growth,Dual-X,20,True,True
motion_growth,Dual-Y,0,True,True
motion_growth,Dual-Y,1,True,True
motion_growth,Dual-Y,2,True,True
motion_growth,Dual-Y,3,True,True
motion_growth,Dual-Y,4,True,True
motion_growth,Dual-Y,5,True,True
motion_growth,Dual-Y,6,True,True
motion_growth,Dual-Y,7,True,True
motion_growth,Dual-Y,8,True,True
motion_growth,Dual-Y,9,True,True
motion_growth,Dual-Y,10,True,True
motion_growth,Dual-Y,11,True,True
motion_growth,Dual-Y,12,True,True
motion_growth,Dual-Y,13,True,True
motion_growth,Dual-Y,14,True,True
motion_growth,Dual-Y,15,True,True
motion_growth,Dual-Y,16,True,True
motion_growth,Dual-Y,17,True,True
motion_growth,Dual-Y,18,True,True
motion_growth,Dual-Y,19,True,True
motion_growth,Dual-Y,20,True,True
translation,TMTM,0,True,True
translation,TMTM,1,True,True
translation,TMTM,2,True,True
translation,TMTM,3,True,True
translation,TMTM,4,True,True
translation,TMTM,5,True,True
translation,TMTM,6,True,True
translation,TMTM,7,True,True
translation,TMTM,8,True,True
translation,TMTM,9,True,True
translation,TMTM,10,True,True
translation,TMTM,11,True,True
translation,TMTM,12,True,True
translation,TMTM,13,True,True
translation,TMTM,14,True,True
translation,TMTM,15,True,True
translation,TMTM,16,True,True
translation,TMTM,17,True,True
translation,TMTM,18,True,True
