t,current,previous,track,iou,boundary
23,1838,1781,26,0.3666061705989111,True
24,48,48,16,0.1111111111111111,True
24,1724,1862,33,0.16,True
24,2246,1838,26,0.4158415841584158,True
25,1641,1724,33,0.1903409090909091,True
25,2400,2246,26,0.4956521739130435,True
26,833,637,36,0.125,True
26,1797,1641,33,0.22439024390243903,False
26,1917,1917,37,0.2537313432835821,True
26,2400,2400,26,0.21052631578947367,True
27,882,833,36,0.4,True
27,1999,1797,33,0.24258760107816713,True
28,1600,1999,33,0.173109243697479,True
29,1756,1600,33,0.20134228187919462,True
29,2381,2376,41,0.4504950495049505,True
30,0,0,42,0.1875,True
30,372,862,43,0.2670807453416149,True
30,2379,2381,41,0.45,True
31,0,0,42,0.9375,True
31,27,372,43,0.48860759493670886,True
31,1519,1568,44,0.06097560975609756,True
31,1993,2379,41,0.34657039711191334,True
31,2400,2204,45,0.21428571428571427,True
32,0,0,42,0.6764705882352942,True
32,25,27,43,0.5649546827794562,True
32,1666,1519,44,0.6633663366336634,True
32,2049,1993,41,0.18017057569296374,True
33,0,0,42,0.07407407407407407,True
33,715,25,43,0.24915824915824916,True
33,1911,1666,44,0.3524590163934426,True
33,2155,2049,41,0.4680170575692964,True
34,770,715,43,0.011560693641618497,False
34,1862,1911,44,0.6385224274406333,True
34,2400,2155,41,0.3235294117647059,True
35,574,922,47,0.014925373134328358,True
35,1866,1862,44,0.6533795493934142,True
35,2400,2400,41,0.4863013698630137,True
36,12,10,48,0.1095890410958904,True
36,432,574,47,0.18126888217522658,True
36,1967,1866,44,0.03292894280762565,True
36,2400,2400,41,0.04225352112676056,True
37,14,12,48,0.5142857142857142,True
37,48,432,47,0.06756756756756757,True
37,1862,1862,51,0.5,True
37,1874,1967,44,0.15492957746478872,False
38,13,14,48,0.22093023255813954,True
38,293,48,47,0.06291390728476821,True
38,2024,1874,44,0.015873015873015872,False
39,14,13,48,0.4090909090909091,True
40,0,0,56,0.25,True
40,2370,2081,58,0.02240413614821198,True
41,2029,2370,58,0.04782421370099095,True
42,1116,1299,60,0.002136752136752137,True
42,2031,2029,58,0.2702702702702703,False
43,1567,1116,60,0.2636363636363636,True
43,2107,2058,62,0.05084745762711865,True
44,476,20,63,0.06479481641468683,True
44,1861,1567,60,0.2655172413793103,True
44,1911,2107,62,0.7094188376753507,True
45,13,13,64,0.7543859649122807,True
45,826,476,63,0.6510791366906474,True
45,1860,1861,60,0.4105263157894737,True
45,2058,1911,62,0.7132352941176471,True
46,13,13,64,0.8582677165354331,True
46,1224,826,63,0.06766917293233082,True
46,2270,2058,62,0.0990990990990991,True
47,12,13,64,0.7133757961783439,True
47,45,1224,63,0.08024691358024691,True
47,2058,2107,67,0.3235294117647059,True
47,2376,2270,62,0.3645833333333333,True
48,12,12,64,0.65625,True
48,342,45,63,0.7633136094674556,True
48,1862,1923,68,0.13934426229508196,True
48,2231,2376,62,0.2838427947598253,True
49,10,12,64,0.19653179190751446,True
49,439,342,63,0.9072164948453608,True
49,1569,1862,68,0.23550724637681159,True
49,2384,2231,62,0.026200873362445413,True
50,440,439,63,0.8074074074074075,True
50,2126,1569,68,0.19408642911296436,True
51,386,440,63,0.4943310657596372,True
51,1911,2126,68,0.1068991660348749,True
52,11,156,69,0.5521235521235521,True
52,387,386,63,0.7267206477732794,True
52,2321,1911,68,0.11289031224979984,True
53,244,387,63,0.6796116504854369,True
53,2381,2321,68,0.7798972853998533,True
54,24,25,71,0.019801980198019802,True
54,342,244,63,0.5464285714285714,True
54,2009,2381,68,0.1707731520815633,True
55,17,24,71,0.2627118644067797,True
55,293,342,63,0.7777777777777778,True
55,2368,2009,68,0.23557692307692307,True
56,0,0,73,0.875,True
56,24,17,71,0.1875,True
56,48,293,63,0.9214285714285714,True
56,2377,2368,68,0.053794428434197884,True
57,0,0,73,0.625,True
57,28,24,71,0.11666666666666667,True
57,48,48,63,0.373134328358209,True
57,2393,2377,68,0.5495750708215298,True
58,32,28,71,0.4793388429752066,True
58,2400,2393,68,0.145,True
