scale,crowding,method,extra_budget,reference_nmae,reference_p95,trajectory_nmae,common_motion_nmae,motion_step_nmae,growth_log_mae,total_growth_log_mae,unchanged_size_log_drift,distance_nrmse,error_step_rms,error_step_max,tau_mean,tau_max,projection_distortion,geometry_lower_bound_nrmse
1.5,0.5,RA-MTM,0.0,0.0,0.0,0.0,0.0,0.0,4.6743569663091714e-17,6.440160904563896e-17,,0.6433465519946711,0.0,0.0,0.0,0.0,0.6433465519946711,0.6433465519946711
1.5,0.5,RA-MTM,1.0,0.007168177995335148,0.008333333333333333,0.00013347980123823235,0.00013347980123823235,9.114638334316953e-05,4.6743569663091714e-17,6.440160904563896e-17,,0.6164884940349249,0.022335584318623633,0.07452223206114894,0.0,0.0,0.6433465519946711,0.6080922741595882
1.5,0.5,RA-MTM,4.0,0.02383493502646011,0.03333333333333333,0.00013338491868423593,0.00013338491868423598,9.105150073460244e-05,4.6743569663091714e-17,6.440160904563896e-17,,0.5368683370129284,0.022298296738511195,0.07452223206249187,0.0,0.0,0.6433465519946711,0.5043735786637399
1.0,0.6666666666666667,TMTM,,0.030682469682648282,0.06221238190183178,0.029661113791298318,0.029661113791298318,0.0028439833350918952,7.172358771715773e-17,6.908536243077635e-17,,0.7629342049940394,0.4016265589085255,0.7086120401337794,,,0.754394555889254,
1.0,0.6666666666666667,ST-MTM,,0.1647429974733468,0.28220870063810993,0.03026086126604576,0.03026086126604576,0.002895277527011085,0.02592786272138896,0.02592786272138898,,0.00047653760970788235,0.39209127313817954,0.7273745950218711,,,0.754394555889254,
1.0,0.6666666666666667,RA-MTM,0.0,0.0005183238780430125,0.003380533854166619,0.0005442400719451631,0.00016444731983082645,0.00025965713485386467,4.1561083278611e-17,1.2463988174893358e-16,,0.7525009812214581,0.07687842836476068,0.2785907960925016,0.06510732893388631,0.6842548585924959,0.754394555889254,0.7519139703557219
1.0,0.6666666666666667,RA-MTM,1.0,0.007392153057178083,0.011541399408058773,0.0005125827430498751,0.00013278999093553837,0.0003279068646884722,4.1561083278611e-17,1.2463988174893358e-16,,0.7247835862761622,0.07743212996837882,0.2785907960925016,0.06510732893388631,0.6842548585924959,0.754394555889254,0.7153880467959557
1.0,0.6666666666666667,RA-MTM,4.0,0.024075705786781147,0.036541399408058776,0.0005010139595312572,0.00012122120741692043,0.000327079286719107,4.1561083278611e-17,1.2463988174893358e-16,,0.6422859946324323,0.07726748331083605,0.2785907960925016,0.06510732893388631,0.6842548585924959,0.754394555889254,0.607597740376573
0.6,0.8,TMTM,,0.03357537381634478,0.07878177965995482,0.03171410266856093,0.03171410266856093,0.0029801440240482266,2.5804011705155006e-17,1.4287616229013977e-16,,0.76263281369023,0.39928375908797736,0.6769536114570371,,,0.8497811539210327,
0.6,0.8,ST-MTM,,0.1812586786669339,0.30486165245832797,0.03201792211300535,0.03201792211300535,0.0030204513798493555,0.007804265355799386,0.007804265355799341,,0.0004962674198163811,0.3964852211904261,0.6702359771832889,,,0.8497811539210327,
0.6,0.8,RA-MTM,0.0,0.013817990060832884,0.02726425032568264,0.007258552571627825,0.000130778241768826,0.0009230026649761541,1.6638889340410875e-17,5.5055786318813916e-17,,0.7867667460526084,0.13443169440856445,0.28829315538932576,2.233835957590202,3.296216972907729,0.8497811539210327,0.7668009350136841
0.6,0.8,RA-MTM,1.0,0.019372591905639093,0.035597583659015976,0.007257482355697679,0.00012970802583868056,0.0009217029420309647,1.6638889340410875e-17,5.5055786318813916e-17,,0.7587261552191478,0.13434239992262134,0.28829315538932576,2.233835957590202,3.296216972907729,0.8497811539210327,0.7301149364156647
0.6,0.8,RA-MTM,4.0,0.03606796445621702,0.06059758365901598,0.007254743448889529,0.0001269691190305306,0.0009192287169327034,1.6638889340410875e-17,5.5055786318813916e-17,,0.6746033929212781,0.13417110853531122,0.28829315538932576,2.233835957590202,3.296216972907729,0.8497811539210327,0.6222544474474321
0.3,0.9,TMTM,,0.04427892749075937,0.09775998783291842,0.030411424310175073,0.03041142431017507,0.0029220108484614036,4.754587927073099e-17,7.728193085476675e-17,,0.7610601391296214,0.3876757730746832,0.6854603729603639,,,0.9238018129645408,
0.3,0.9,ST-MTM,,0.19386695074007926,0.32198420497839886,0.030687623805124624,0.03068762380512462,0.002945685090885651,0.005874929808520269,0.005874929808520288,,0.00046554280037679744,0.3925284131234465,0.7335619147271828,,,0.9238018129645408,
0.3,0.9,RA-MTM,0.0,0.028627877094374494,0.04585189353365568,0.004794348865983696,0.00019695867110711496,0.0007320643105077205,2.4025920142278778e-17,1.1011157263762783e-16,,0.7846784889896914,0.10818646577466826,0.22605957920386288,4.91136889642111,5.5165256835178695,0.9238018129645408,0.7415316701632739
0.3,0.9,RA-MTM,1.0,0.034183748521260694,0.05418522686698901,0.004792641563648863,0.00019525136877228156,0.000731420555164815,2.4025920142278778e-17,1.1011157263762783e-16,,0.7563994386661305,0.10811834422057318,0.22605957920386288,4.91136889642111,5.5165256835178695,0.9238018129645408,0.7053613570347599
0.3,0.9,RA-MTM,4.0,0.05088190840251839,0.079185226866989,0.004790607357150525,0.00019321716227394426,0.0007302571809139844,2.4025920142278778e-17,1.1011157263762783e-16,,0.6715612350740893,0.10797667380430898,0.22605957920386288,4.91136889642111,5.5165256835178695,0.9238018129645408,0.5997772050896033
0.1,0.9666666666666667,TMTM,,0.053967058405712254,0.1099171492595563,0.030342349591221906,0.03034234959122191,0.0028539674486078317,5.3718603639415123e-17,7.75855074630627e-17,,0.7606458562147369,0.3717052291604378,0.6286421911421911,,,0.9746796495145589,
0.1,0.9666666666666667,ST-MTM,,0.20312161685726401,0.3328245734551497,0.030563309187181496,0.03056330918718151,0.0028894788122441964,0.002659248349762058,0.002659248349762007,,0.0004396215400833738,0.3761003111448343,0.68305345885598,,,0.9746796495145589,
0.1,0.9666666666666667,RA-MTM,0.0,0.03858610053892209,0.058030110046076624,0.0017698838403569163,9.530622975441716e-05,0.0005520395788895025,3.356689926015122e-17,9.417380070209092e-17,,0.7839848171621229,0.08387892207985378,0.24389642985322268,6.717637067621408,6.97216960179766,0.9746796495145589,0.7262588202422819
0.1,0.9666666666666667,RA-MTM,1.0,0.044142741596882744,0.06636344337940996,0.001770176148080514,9.559853747801464e-05,0.0005522452245663918,3.356689926015122e-17,9.417380070209092e-17,,0.7556219492600353,0.08385397198374744,0.24389642985322268,6.717637067621408,6.97216960179766,0.9746796495145589,0.6906325477497134
0.1,0.9666666666666667,RA-MTM,4.0,0.06084259276322332,0.09136344337940996,0.0017711670759334038,9.658946533090469e-05,0.0005525996255387798,3.356689926015122e-17,9.417380070209092e-17,,0.6705322121263618,0.0838105330933319,0.24389642985322268,6.717637067621408,6.97216960179766,0.9746796495145589,0.5872413016719116
