scene,method,calibration,t,feature,q,x,reference_error,initial_error,cumulative_motion_error
translation_growth,TMTM,first_frame_affine,0,0,27.361425339366516,32.099142094689455,4.737716755322939,4.737716755322939,0.0
translation_growth,TMTM,first_frame_affine,0,1,57.67451298701299,50.153387637937755,-7.521125349075234,-7.521125349075234,0.0
translation_growth,TMTM,first_frame_affine,0,2,78.10060975609755,80.88401834984981,2.783408593752256,2.783408593752256,0.0
translation_growth,TMTM,first_frame_affine,1,0,27.62079831932773,31.618975989815823,3.9981776704880936,4.737716755322939,-0.7395390848348455
translation_growth,TMTM,first_frame_affine,1,1,58.5234375,50.82562018476085,-7.697817315239149,-7.521125349075234,-0.17669196616391503
translation_growth,TMTM,first_frame_affine,1,2,79.30889423076923,81.26815123374874,1.9592570029795127,2.783408593752256,-0.8241515907727432
translation_growth,TMTM,first_frame_affine,2,0,27.636186770428015,30.466577338119123,2.830390567691108,4.737716755322939,-1.9073261876318313
translation_growth,TMTM,first_frame_affine,2,1,59.0625,51.20975306865975,-7.852746931340249,-7.521125349075234,-0.33162158226501504
translation_growth,TMTM,first_frame_affine,2,2,79.92613636363636,83.09278243226848,3.1666460686321187,2.783408593752256,0.3832374748798628
translation_growth,TMTM,first_frame_affine,3,0,27.629310344827587,30.178477675194955,2.549167330367368,4.737716755322939,-2.1885494249555713
translation_growth,TMTM,first_frame_affine,3,1,59.62923728813559,51.30578628963448,-8.323450998501109,-7.521125349075234,-0.8023256494258746
translation_growth,TMTM,first_frame_affine,3,2,80.89285714285714,83.57294853714208,2.6800913942849434,2.783408593752256,-0.10331719946731255
translation_growth,TMTM,first_frame_affine,4,0,27.921511627906977,29.794344791296055,1.8728331633890782,4.737716755322939,-2.864883591933861
translation_growth,TMTM,first_frame_affine,4,1,60.30894886363637,50.72958696378612,-9.579361899850248,-7.521125349075234,-2.058236550775014
translation_growth,TMTM,first_frame_affine,4,2,82.16720779220779,85.013446851763,2.8462390595552165,2.783408593752256,0.06283046580296059
translation_growth,TMTM,first_frame_affine,5,0,28.21768060836502,29.50624512837186,1.2885645200068403,4.737716755322939,-3.449152235316099
