scene,method,status,frames,reference_mae,motion_mae,center_motion_mae,size_ratio_mae,distance_nrmse,sns,static_drift_max,hierarchy_violations,max_overlap,max_eccentricity,max_tau,max_budget_violation,seconds,reference_nmae,reference_p95,trajectory_nmae,common_motion_nmae,motion_step_nmae,growth_log_mae,total_growth_log_mae,unchanged_size_log_drift,rendered_reference_nmae,rendered_reference_p95,rendered_trajectory_nmae,rendered_common_motion_nmae,rendered_motion_step_nmae,rendered_growth_log_mae,rendered_total_growth_log_mae,rendered_unchanged_size_log_drift
growth,NoReferencePenalty,defined,11,2.3471984992408e-06,6.092927964829186e-07,6.046392590874916e-06,3.027880976250427e-17,1.431210638724867e-08,8.903548460748157e-33,5.885395303550922e-06,0,0.0,2.2390986245568456e-05,0.0,-0.9999939717011159,0.02476083394140005,1.9559987493673334e-08,4.926755227193288e-08,2.151598644436111e-08,2.142417385423793e-08,5.0774399706909885e-09,2.6367796834847467e-17,6.071532165918825e-17,0.0,,,,,,,,
growth,ReferenceOnly,defined,11,6.136505445200865e-15,5.329070518200751e-15,6.7501559897209515e-15,3.027880976250427e-17,3.108142986904301e-16,1.655776211093016e-32,1.4210854715202004e-14,0,0.0,2.842170943040401e-14,0.0,-0.9999999999999858,0.020432083983905613,5.113754537667388e-17,1.1842378929335003e-16,7.105427357601002e-17,5.329070518200752e-17,4.4408920985006264e-17,2.6367796834847467e-17,6.071532165918825e-17,0.0,,,,,,,,
growth,LegacyObjective,defined,11,9.978688614802939e-08,4.439250780308157e-08,5.990866171146081e-07,3.027880976250427e-17,3.7175714588498086e-09,8.46809610874448e-33,3.3480196748314484e-07,0,0.0,4.661521060711493e-06,0.0,-0.9999996652653707,0.023824917036108673,8.315573845669115e-10,2.149414823904294e-09,9.147131496689553e-10,8.512228995745848e-10,3.6993756502567975e-10,2.6367796834847467e-17,6.071532165918825e-17,0.0,,,,,,,,
growth,TightBudget,defined,11,0.0,0.0,6.394884621840902e-15,3.027880976250427e-17,0.0,0.0,0.0,0,0.0,1.4210854715202004e-14,0.0,0.0,0.012680792016908526,0.0,0.0,0.0,0.0,0.0,2.6367796834847467e-17,6.071532165918825e-17,0.0,,,,,,,,
growth,LooseBudget,defined,11,7.125104679191323e-07,5.613740547971702e-07,1.1695363440367145e-06,3.027880976250427e-17,6.311229754278719e-10,9.641495721204697e-33,4.230051281695069e-06,0,0.0,2.8589917775434515e-06,0.0,-119.99999607627002,0.03713737498037517,5.9375872326594355e-09,3.102635902270851e-08,2.985806680122494e-08,2.985806680122494e-08,4.678117123309752e-09,2.6367796834847467e-17,6.071532165918825e-17,0.0,,,,,,,,
collective_growth,Full,defined,11,2.6919307309039155e-05,4.680020473912805e-06,7.350345431511585e-05,3.364312195833808e-17,1.1912835102924591e-06,1.162679725059611e-12,,0,0.0,0.0015326698606230593,0.0,-0.9999167435082299,0.02757174998987466,2.2432756090865964e-07,4.5809698826578437e-07,3.110016604710195e-07,3.1100166047101946e-07,3.9000170615940045e-08,3.122502256758253e-17,5.551115123125783e-17,,,,,,,,,
collective_growth,RelativeWidth,defined,11,2.9666131141831983e-05,3.707402148833694e-06,5.135173590176123e-05,0.15165902521131108,9.448179505591416e-07,8.334301946098534e-13,,0,0.0,0.0015326698606230593,0.0,-0.9999167435082299,0.02755870798137039,2.4721775951526654e-07,4.6288621412315924e-07,2.5332978739633913e-07,2.5332978739633913e-07,3.089501790694745e-08,0.1514193103999413,0.15141931039994133,,,,,,,,,
collective_growth,OldTime,defined,11,0.04564247417497752,0.025301417067546576,0.025359257886871232,3.364312195833808e-17,0.003086839288859767,1.1069251700671375e-08,,0,0.0,0.0019334710200027416,0.0,-0.899936911926833,0.02787200000602752,0.000380353951458146,0.0007013487003867583,0.000418289472318235,9.575373628316126e-05,0.0002108451422295548,3.122502256758253e-17,5.551115123125783e-17,,,,,,,,,
collective_growth,NoTime,defined,11,4.350465916898095e-05,4.383543006625246e-06,9.654647476390703e-05,3.364312195833808e-17,1.8176459499886351e-06,2.681761764856841e-12,,0,0.0,0.0022775089850100017,0.0,-0.9999083004423852,0.02766520797740668,3.625388264081746e-07,7.230610586717035e-07,1.6097697877310362e-07,1.5134868494470766e-07,3.652952505521038e-08,3.122502256758253e-17,5.551115123125783e-17,,,,,,,,,
collective_growth,NoReferencePenalty,defined,11,0.0007557348743961644,0.00022020258132720015,0.0007941828475747315,3.364312195833808e-17,2.804946702247652e-06,4.396367146531657e-12,,0,0.0,0.004196524852936534,0.0,-0.9986805608789311,0.027570791076868773,6.297790619968037e-06,1.0839281415293555e-05,6.92204456918767e-06,6.9220445691876705e-06,1.8350215110600013e-06,3.122502256758253e-17,5.551115123125783e-17,,,,,,,,,
