method,t,track,reference,motion,growth,trajectory,eligible,boundary,iou,q,x,width,area
RA-MTM,22,41,0.03645583427097776,0.018940026730265794,0.0,0.028544132600887194,True,True,0.3695652173913043,91.47550437848082,87.10080426596349,1.2989250361047313,311.74200866513553
RA-MTM,23,42,0.03333333333333333,,,,False,True,,22.579001012352638,18.579001012352638,0.33722092283488214,80.93302148037172
RA-MTM,23,24,0.03333333333333333,0.0031225009376444272,2.220446049250313e-16,0.004234619102917137,True,True,0.5655172413793104,94.80004899263253,98.80004899263253,1.024152432313346,245.79658375520302
RA-MTM,23,36,0.01036809664046044,0.02459844734355509,1.6653345369377348e-16,0.16332235221421004,True,False,0.32193732193732194,65.7871890669263,64.54301747007105,2.46046377031377,590.5113048753047
RA-MTM,23,43,0.024985006657617662,,,,False,True,,23.981498335052677,26.979699133966797,0.5995038628175683,143.88092707621638
RA-MTM,23,41,0.0051373709108428756,0.031318463360134885,0.0,0.0027743307592476897,True,True,0.009615384615384616,75.36030870607823,74.74382419677708,0.01248966380869934,2.9975193140878416
RA-MTM,24,24,0.07535969692990724,0.0420263635965739,2.220446049250313e-16,0.03779174449365676,True,True,0.1951219512195122,97.01407722923015,106.05724086081902,0.19983462093918944,47.960309025405465
RA-MTM,24,44,0.0436339339997005,,,,False,False,,70.26773323900932,75.50380531897338,0.7743591561393591,185.84619747344618
RA-MTM,24,45,0.01990205716245767,,,,False,False,,35.485567923632736,33.097321064137816,0.13738630189569273,32.972712454966256
RA-MTM,24,43,0.0185773024957256,0.04356230915334326,0.0,0.04356230915334326,True,False,0.10204081632653061,28.42603210417254,26.196755804685466,0.07493798285219604,17.985115884527048
RA-MTM,24,36,0.06815528541088192,0.05778718877042147,0.0,0.2211095409846315,True,True,0.24633431085043989,82.2769389421485,74.09830469284267,2.8476433483834493,683.4344036120278
RA-MTM,25,46,0.1296340004766527,,,,False,True,,42.93299032657975,27.376910269381426,0.0624483190434967,14.987596570439209
RA-MTM,25,47,0.06296733380998602,,,,False,True,,20.380156115274424,27.936236172472746,0.17485529332179076,41.96527039722978
RA-MTM,25,48,0.07121721089806113,,,,False,False,,77.06700967342024,85.61307498118758,0.01248966380869934,2.9975193140878416
RA-MTM,25,49,0.02721335120737057,,,,False,False,,55.77444381189112,59.040045956775586,1.811001252261404,434.640300542737
RA-MTM,25,43,0.044133844999682675,0.06271114749540828,2.220446049250313e-16,0.019148838342065013,True,False,0.125,29.79139287804616,35.08745427800808,0.3746899142609802,89.92557942263525
RA-MTM,25,36,0.016005817545082242,0.05214946786579967,2.220446049250313e-16,0.16896007311883182,True,True,0.5350877192982456,86.64971592447995,84.72901781907008,1.5237389846613194,365.6973563187167
RA-MTM,26,47,0.03333333333333333,0.09630066714331935,2.220446049250313e-16,0.09630066714331935,True,True,0.20930232558139536,21.06027003459118,17.06027003459118,0.4746072247305749,113.90573393533798
RA-MTM,26,49,0.005994407472426744,0.021218943734943825,0.0,0.021218943734943825,True,False,0.2367758186397985,72.25766446197959,72.9769933586708,4.321423677809972,1037.1416826743932
RA-MTM,26,43,0.02647764353720617,0.017656201462476505,0.0,0.0014926368795885085,True,True,0.410958904109589,30.027525477637315,33.204842702102056,0.9117454580350518,218.81890992841244
RA-MTM,26,36,0.018991098375039664,0.034996915920121906,0.0,0.13396315719870994,True,True,0.23770491803278687,95.36990625422611,97.64883805923087,0.3622002504522808,86.9280601085474
RA-MTM,27,47,0.02455097126734834,0.008782362065984994,0.0,0.08751830507733435,True,True,0.44,23.657308813069818,20.711192260988017,0.4246485694957775,101.91565667898661
RA-MTM,27,50,0.006326921467716081,,,,False,False,,59.74201031889016,60.50124089501609,1.0741110875481432,257.7866610115544
RA-MTM,27,49,0.01490636524020772,0.008911957767780976,2.220446049250313e-16,0.01230698596716285,True,True,0.24043715846994534,86.59609007441315,88.38485390323808,1.3488836913395286,323.7320859214869
RA-MTM,28,51,0.03333333333333333,,,,False,True,,19.039176783791405,15.039176783791405,0.02497932761739868,5.995038628175683
RA-MTM,28,52,0.03333333333333333,,,,False,True,,20.380156115274424,16.380156115274424,0.17485529332179076,41.96527039722978
RA-MTM,28,49,0.03135319889699938,0.016446833656791664,0.0,0.004139847689628814,True,True,0.17073170731707318,78.72351355348762,82.48589742112755,7.643674250923996,1834.481820221759
RA-MTM,28,53,0.03333333333333333,,,,False,True,,23.81793949234907,27.81793949234907,0.3122415952174835,74.93798285219604
RA-MTM,28,54,0.03333333333333333,,,,False,True,,64.86318017575951,68.86318017575951,1.1615387342090386,278.7692962101693
RA-MTM,29,51,0.04671583530811662,0.013382501974783285,0.0,0.013382501974783285,True,True,0.18181818181818182,20.590723117738698,14.984822880764703,0.13738630189569273,32.972712454966256
RA-MTM,29,55,0.04671583530811662,,,,False,False,,72.04231241553131,66.43641217855732,2.0108358732005938,482.6006095681425
RA-MTM,29,49,0.03848734529669713,0.0071341463996977455,0.0,0.011273994089326559,True,True,0.2016260162601626,89.49770569539955,94.1161871310032,1.586187303704816,380.68495288915585
RA-MTM,29,54,0.04671583530811662,0.013382501974783285,0.0,0.013382501974783285,True,True,0.45365853658536587,70.47331618007931,76.0792164170533,2.560381080783365,614.4914593880076
RA-MTM,30,51,0.08088144683097663,0.03416561152286001,0.0,0.0475481134976433,True,True,0.4230769230769231,20.811520096031195,11.105746476314,0.32473125902618283,77.93550216628388
RA-MTM,30,55,0.1463218298091391,0.19303766511725573,0.0,0.19303766511725573,True,True,0.29375,69.55887458784056,87.11749416493726,3.1598849436009333,758.372386464224
RA-MTM,30,56,0.01110557031549441,,,,False,True,,20.366610869501866,21.699279307361195,0.11240697427829406,26.977673826790575
RA-MTM,30,57,0.0028455945768818937,,,,False,False,,52.225028926552994,51.88355757732717,0.11240697427829406,26.977673826790575
RA-MTM,30,58,0.10397793071646705,,,,False,True,,98.20807972049565,85.7307280345196,0.38717957806967956,92.92309873672309
RA-MTM,30,54,0.001790811390425399,0.04492502391769122,0.0,0.031542521942907936,True,True,0.2904761904761905,64.78393452967083,64.99883189652188,0.8243178113741564,197.83627472979754
RA-MTM,31,51,0.07306726017388147,0.00781418665709516,0.0,0.039733926840548134,True,True,0.9615384615384616,20.81414578982711,12.046074568961332,0.3122415952174835,74.93798285219604
RA-MTM,31,55,0.12893485461620682,0.017386975192932277,0.0,0.17565068992432345,True,True,0.46335078534031415,74.52369058483218,89.995873138777,3.821837125461998,917.2409101108796
RA-MTM,31,56,0.009224884853155283,0.0018806854623391266,0.0,0.0018806854623391266,True,True,0.10465116279069768,25.74690849264726,26.853894675025895,1.0741110875481432,257.7866610115544
RA-MTM,31,54,0.0178301529539547,0.0196209643443801,2.220446049250313e-16,0.051163486287288035,True,True,0.2631578947368421,73.94786652620897,71.8082481717344,2.1732015027136855,521.5683606512845
RA-MTM,31,58,0.062268187949540275,0.04170974276692677,2.220446049250313e-16,0.04170974276692677,True,True,0.3333333333333333,95.97200500397805,88.49982245003322,0.16236562951309141,38.96775108314194
RA-MTM,32,51,0.07772791256103394,0.004660652387152468,0.0,0.044394579227700605,True,True,0.65625,22.45257871847545,13.125229211151378,0.3497105866435815,83.93054079445956
RA-MTM,32,55,0.07772791256103394,0.051206942055172885,1.6653345369377348e-16,0.12444374786915055,True,True,0.584375,66.4447066378737,75.77205614519777,2.510422425548567,602.5013821316561
RA-MTM,32,56,0.006453153732623474,0.00277173112053181,0.0,0.004652416582870937,True,True,0.6571428571428571,23.77139310233066,24.545771550245476,1.0990904151655418,263.78169963973005
RA-MTM,32,54,0.01569736751844057,0.002132785435514132,0.0,0.0490307008517739,True,True,0.19141914191419143,73.13352394560775,71.24983984339488,11.3531044021077,2724.745056505848
RA-MTM,32,59,0.03679935496693322,,,,False,True,,25.66519230406044,30.081114900092427,0.21232428474788875,50.957828339493304
RA-MTM,33,51,0.03333333333333333,0.044394579227700605,2.220446049250313e-16,0.0,True,True,0.14285714285714285,19.46585202562691,15.465852025626909,0.04995865523479736,11.990077256351366
RA-MTM,33,55,0.0020698459839168255,0.07565806657711711,0.0,0.04878568129203344,True,False,0.24172185430463577,69.94594701657944,70.19432853464946,2.1732015027136855,521.5683606512845
RA-MTM,33,56,0.03333333333333333,0.02688017960070986,0.0,0.022227763017838922,True,True,0.3651452282157676,27.29649349715568,31.29649349715568,3.0100089778965406,722.4021546951698
RA-MTM,33,54,0.03333333333333333,0.0490307008517739,0.0,0.0,True,True,0.47084708470847086,84.3284640227889,88.3284640227889,5.345576110123318,1282.9382664295963
RA-MTM,34,60,0.10220510622060394,,,,False,True,,47.19974274493482,34.935129998462344,0.02497932761739868,5.995038628175683
RA-MTM,34,55,0.06309880848247656,0.061028962498559734,0.0,0.10981464379059318,True,False,0.034482758620689655,75.36030870607823,82.93216572397542,0.07493798285219604,17.985115884527048
RA-MTM,34,61,0.04617999026610207,,,,False,False,,85.60051451013037,91.14211334206261,0.21232428474788875,50.957828339493304
RA-MTM,34,56,0.040217090601778104,0.006883757268444768,1.6653345369377348e-16,0.02911152028628369,True,True,0.6314363143631436,31.74251611688844,36.56856698910181,4.508768634940462,1082.1044723857108
RA-MTM,34,54,0.045099163009738534,0.07843249634307187,0.0,0.07843249634307187,True,True,0.3187066974595843,87.37882530826998,81.96692574710136,1.7860219246440054,428.64526191456133
RA-MTM,35,62,0.08006328071995039,,,,False,True,,36.60815732995931,27.000563643565265,0.21232428474788875,50.957828339493304
RA-MTM,35,61,0.10243086616854609,0.05625087590244403,0.0,0.05625087590244403,True,True,0.02373887240356083,85.25188961741114,97.54359355763667,4.096609729253384,983.1863350208121
RA-MTM,35,63,0.035764199501879666,,,,False,True,,100.2580639943619,95.96636005413635,0.21232428474788875,50.957828339493304
RA-MTM,35,56,0.024304288696858183,0.015912801904919918,1.1102230246251565e-16,0.013198718381363772,True,True,0.6224137931034482,37.392097358467616,40.3086120020906,7.244005009045616,1738.561202170948
RA-MTM,35,54,0.03680969748579095,0.008289465523947588,0.0,0.07014303081912428,True,True,0.4965034965034965,92.86000313178238,88.44283943348746,0.8867661304176532,212.82387130023676
RA-MTM,36,62,0.06286079037856629,0.017202490341384102,0.0,0.017202490341384102,True,True,0.2328767123287671,39.49620892658963,31.952914081161676,0.9117454580350518,218.81890992841244
RA-MTM,36,64,0.08335426010100792,,,,False,True,,95.84072031418253,105.84323152630348,0.01248966380869934,2.9975193140878416
RA-MTM,36,61,0.07136657802583161,0.031064288142714485,0.0,0.025186587759729543,True,False,0.21646341463414634,87.88412848051759,96.44811784361738,0.8867661304176532,212.82387130023676
RA-MTM,36,56,0.0003112544165039329,0.024615543113362115,1.942890293094024e-16,0.011416824731998343,True,True,0.7168508287292817,44.1454430499856,44.10809252000513,8.280647105167663,1987.355305240239
RA-MTM,36,54,0.07895166935579863,0.042141971870007684,0.0,0.11228500268913197,True,True,0.04225352112676056,99.25412224886657,89.77992192617073,0.03746899142609802,8.992557942263524
RA-MTM,37,62,0.1322395083369143,0.06937871795834803,0.0,0.05217622761696393,True,True,0.5132743362831859,43.94307865419036,28.07433765376064,1.2239870532525354,293.7568927806085
RA-MTM,37,64,0.06650782530778017,0.01684643479322775,0.0,0.01684643479322775,True,True,0.07692307692307693,97.15356721213794,105.13450624907156,0.16236562951309141,38.96775108314194
RA-MTM,37,61,0.05992404596686806,0.011442532058963551,0.0,0.013744055700765994,True,False,0.1267605633802817,89.77245020807756,96.96333572410173,0.11240697427829406,26.977673826790575
RA-MTM,37,65,0.06557284167024771,,,,False,True,,21.030327912357098,28.899068912786824,0.07493798285219604,17.985115884527048
RA-MTM,37,56,0.004973191045146427,0.005284445461650359,0.0,0.006132379270347984,True,False,0.08748114630467571,37.81288742455368,38.40967034997125,0.7244005009045617,173.8561202170948
RA-MTM,37,66,0.03368220274995757,,,,False,True,,75.2051540726835,71.16328974268859,0.13738630189569273,32.972712454966256
RA-MTM,38,62,0.09062867502858216,0.04161083330833216,0.0,0.01056539430863177,True,True,0.25510204081632654,41.56762955270615,30.692188549276292,0.3122415952174835,74.93798285219604
RA-MTM,38,64,0.05044065617894399,0.016067169128836174,0.0,0.032913603922063925,True,True,0.04377104377104377,90.15746355761263,96.21034229908591,3.709430151183704,890.263236284089
RA-MTM,38,67,0.029017206832270402,,,,False,False,,49.11978133319459,52.60184615306704,0.19983462093918944,47.960309025405465
RA-MTM,38,56,0.038493244951667935,0.033520053906521505,0.0,0.027387674636173524,True,False,0.07936507936507936,28.42603210417254,33.04522149837269,0.1248966380869934,29.975193140878417
RA-MTM,38,68,0.026900258483462735,,,,False,False,,44.43890294482271,47.666933962838236,0.21232428474788875,50.957828339493304
RA-MTM,39,69,0.06559052186549573,,,,False,True,,19.892527267462416,12.021664643602929,0.02497932761739868,5.995038628175683
RA-MTM,39,62,0.06559052186549573,0.025038153163086434,0.0,0.014472758854454664,True,True,0.3870967741935484,43.691524089842865,35.82066146598338,0.22481394855658812,53.95534765358115
RA-MTM,39,70,0.06559052186549579,,,,False,False,,56.64445233539536,64.51531495925485,0.7368901647132611,176.85363953118267
RA-MTM,39,68,0.06559052186549573,0.03869026338203299,1.6653345369377348e-16,0.03869026338203299,True,False,0.13513513513513514,36.58406272806742,44.45492535192691,0.3122415952174835,74.93798285219604
RA-MTM,40,69,0.03333333333333333,0.0322571885321624,0.0,0.0322571885321624,True,True,0.4,19.721857170728214,15.721857170728214,0.0624483190434967,14.987596570439209
RA-MTM,40,70,0.033333333333333395,0.0322571885321624,4.440892098500626e-16,0.0322571885321624,True,True,0.02554112554112554,61.189518856026346,65.18951885602635,28.851123398095474,6924.269615542914
RA-MTM,41,71,0.012981387648954327,,,,False,True,,21.20099800909131,19.643231491216792,0.3746899142609802,89.92557942263525
RA-MTM,41,72,0.01221786975242741,,,,False,False,,92.65487850847744,94.12102287876873,0.1873449571304901,44.962789711317626
RA-MTM,41,73,0.01496377081669511,,,,False,False,,62.87610718570601,64.67175968370942,0.6744418456697643,161.86604296074344
RA-MTM,41,70,0.0016444498673648647,0.03168888346596853,0.0,0.06394607199813092,True,False,0.047186147186147186,52.09280744488329,52.290141428967075,1.361373355148228,326.72960523557475
RA-MTM,42,74,0.09915087304223352,,,,False,False,,40.20226877883252,28.304164013764495,0.624483190434967,149.8759657043921
RA-MTM,42,72,0.015899331359715062,0.003681461607287654,0.0,0.003681461607287654,True,False,0.03546099290780142,81.38419651752415,83.29211628068995,5.283127791079821,1267.950669859157
RA-MTM,42,70,0.012077597690627506,0.01043314782326264,1.1102230246251565e-16,0.05351292417486828,True,False,0.3853211009174312,57.07422691312796,58.52353863600326,0.5245658799653723,125.89581119168935
RA-MTM,42,75,0.06764529038304007,,,,False,True,,20.9084207004041,29.02585554636891,0.26228293998268615,62.947905595844674
RA-MTM,43,76,0.10768593653943265,,,,False,True,,57.38708612964447,44.464773744912556,1.4113320103830254,338.7196824919261
RA-MTM,43,77,0.09440230916134133,,,,False,False,,75.36030870607823,86.68858580543919,0.04995865523479736,11.990077256351366
