t,order,kkt,relaxed_kkt,raw_sse,relaxed_sns_bound
16,"(0, 1, 3, 4, 2)",7.797514437886814e-16,3.598852817486222e-16,3861.802776678675,0.17806522679763623
16,"(0, 3, 1, 2, 4)",1.6405154029522667e-16,7.797514437886814e-16,5843.017845003017,0.2694177714191613
16,"(0, 3, 1, 4, 2)",1.9024764632219013e-16,9.596940846629926e-16,5195.9070153770635,0.2395799098545028
16,"(1, 3, 0, 2, 4)",6.737589455923548e-17,5.998088029143703e-16,5476.028840318768,0.2524961459166954
16,"(1, 3, 0, 4, 2)",1.7273313009804286e-16,2.3992352116574815e-16,4828.918010692816,0.2226582843520369
16,"(2, 4, 0, 1, 3)",2.763730081568685e-16,1.8943971741815534e-16,4664.093292378329,0.21505832325983246
16,"(2, 4, 0, 3, 1)",2.4898312086538074e-16,7.197705634972444e-16,4828.918010692814,0.2226582843520369
16,"(2, 4, 1, 3, 0)",2.615905136930114e-16,7.197705634972444e-16,5195.907015377063,0.2395799098545028
16,"(2, 4, 3, 1, 0)",1.0796558452458667e-15,1.799426408743111e-16,3861.8027766786745,0.17806522679763626
16,"(3, 1, 0, 2, 4)",2.708456478268882e-16,3.598852817486222e-16,5311.204122004283,0.24489618482449096
16,"(3, 1, 0, 4, 2)",4.798470423314963e-16,4.798470423314963e-16,4664.09329237833,0.21505832325983246
16,"(4, 2, 0, 1, 3)",4.798470423314963e-16,2.5002351919537226e-16,5311.204122004282,0.2448961848244909
16,"(4, 2, 0, 3, 1)",2.0748593405448398e-16,2.9990440145718514e-16,5476.028840318769,0.2524961459166954
16,"(4, 2, 1, 3, 0)",1.4933762752380278e-16,3.2811523256100603e-16,5843.017845003016,0.2694177714191613
16,"(4, 2, 3, 1, 0)",1.799426408743111e-16,2.5189426865205405e-16,4508.913606304629,0.20790308836229465
17,"(0, 1, 2, 3)",3.6598546674164305e-16,1.8299273337082152e-16,1724.9941503549621,0.13106362925759626
17,"(1, 0, 2, 3)",3.049878889513692e-16,1.8299273337082152e-16,1469.3233459951284,0.1116379729400295
17,"(2, 0, 1, 3)",2.4399031116109537e-16,2.4399031116109537e-16,1965.7300286716313,0.14935454224313027
17,"(2, 1, 0, 3)",5.489782001124646e-16,3.6598546674164305e-16,3156.0635639381067,0.23979510004267204
17,"(3, 0, 1, 2)",1.8299273337082152e-16,2.4399031116109537e-16,3156.0635639381067,0.23979510004267204
17,"(3, 1, 0, 2)",2.4399031116109537e-16,1.2199515558054768e-16,1965.730028671631,0.14935454224313033
17,"(3, 2, 0, 1)",7.929685112735599e-16,1.090456542116307e-16,1469.3233459951284,0.11163797294002949
17,"(3, 2, 1, 0)",3.6598546674164305e-16,9.759612446443815e-16,1724.9941503549621,0.13106362925759626
18,"(0, 3, 1, 2)",4.142343983418594e-16,3.550580557215938e-16,2992.1864233065658,0.21204115305616522
18,"(0, 3, 2, 1)",3.550580557215938e-16,3.550580557215938e-16,1613.4574588170972,0.11433758849710392
18,"(1, 2, 0, 3)",4.142343983418594e-16,3.550580557215938e-16,2766.2943189760704,0.19603331948823172
18,"(1, 2, 3, 0)",1.1348983572712307e-16,1.1835268524053126e-16,1613.4574588170967,0.11433758849710396
18,"(2, 1, 0, 3)",2.958817131013282e-16,3.550580557215938e-16,4145.02328346554,0.29373688404729303
18,"(2, 1, 3, 0)",3.550580557215938e-16,8.284687966837188e-16,2992.186423306566,0.21204115305616525
18,"(3, 0, 1, 2)",4.73410740962125e-16,4.73410740962125e-16,4145.02328346554,0.293736884047293
18,"(3, 0, 2, 1)",1.4851316982920727e-16,4.73410740962125e-16,2766.294318976071,0.1960333194882317
19,"(0, 2, 1, 3, 4)",3.5014147867021085e-16,4.3767684833776355e-16,4758.257472596609,0.1365887050827328
19,"(0, 2, 3, 1, 4)",2.6260610900265815e-16,3.5014147867021085e-16,6895.222744431239,0.1979316065477472
19,"(0, 2, 4, 1, 3)",7.002829573404217e-16,5.252122180053163e-16,7214.8493184759955,0.20710668379193412
19,"(0, 2, 4, 3, 1)",7.878183270079744e-16,4.189390659150313e-16,7478.153394044539,0.21466498910265683
19,"(1, 3, 4, 0, 2)",4.3767684833776355e-16,1.7507073933510542e-16,7346.47483238432,0.21088507506313534
19,"(1, 3, 4, 2, 0)",1.7507073933510542e-16,1.7455794413126295e-16,7478.153394044538,0.21466498910265686
19,"(2, 0, 1, 3, 4)",5.252122180053163e-16,2.6260610900265815e-16,4626.5789109363905,0.1328087910432113
19,"(2, 0, 3, 1, 4)",6.12747587672869e-16,2.0365354730000608e-16,6763.544182771022,0.1941516925082257
19,"(2, 0, 4, 1, 3)",4.814445331715399e-16,3.063737938364345e-16,7083.170756815776,0.2033267697524126
19,"(2, 0, 4, 3, 1)",5.252122180053163e-16,2.400300213267004e-16,7346.474832384319,0.21088507506313536
19,"(3, 1, 4, 0, 2)",6.12747587672869e-16,2.6260610900265815e-16,7083.170756815777,0.20332676975241262
19,"(3, 1, 4, 2, 0)",1.7507073933510542e-16,1.7455794413126295e-16,7214.849318475996,0.20710668379193412
19,"(4, 1, 3, 0, 2)",4.3767684833776355e-16,3.6657638514001107e-16,6763.544182771021,0.1941516925082257
19,"(4, 1, 3, 2, 0)",4.3767684833776355e-16,1.0504244360106326e-15,6895.222744431239,0.1979316065477472
19,"(4, 3, 1, 0, 2)",9.50549631394056e-17,5.252122180053163e-16,4626.578910936391,0.13280879104321133
19,"(4, 3, 1, 2, 0)",7.440506421741981e-16,8.753536966755271e-17,4758.257472596609,0.13658870508273283
20,"(0, 2, 4, 1, 3, 5)",3.5014147867021085e-16,7.440506421741981e-16,10002.765990900625,0.18231912149311563
20,"(0, 2, 4, 1, 5, 3)",5.252122180053163e-16,1.4005659146808434e-15,9938.298037714776,0.18114407245168096
20,"(0, 2, 4, 3, 5, 1)",6.265321551159358e-16,4.177010441229393e-16,11851.979733849743,0.21602450112252786
20,"(0, 2, 4, 5, 3, 1)",7.878183270079744e-16,8.753536966755271e-16,10596.304414979058,0.19313746955292518
20,"(0, 4, 2, 1, 3, 5)",2.6260610900265815e-16,6.758932275307127e-16,11566.95711735774,0.21082943076981117
20,"(0, 4, 2, 1, 5, 3)",4.3767684833776355e-16,9.628890663430798e-16,11502.489164171891,0.20965438172837647
